"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.521385942698696,0.289490228987471,0.753281656409921
1000,1,"IPCW-TMLE-target-Pi-true-Pi",0.517266416126334,0.288940841407218,0.745591990845449
1000,1,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.517266416126334,0.288940841407218,0.745591990845449
1000,2,"IPCW-TMLE",0.373728481859623,0.145119575361949,0.602337388357298
1000,2,"IPCW-TMLE-target-Pi-true-Pi",0.391806798006082,0.148623470322143,0.634990125690022
1000,2,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.391806798006082,0.148623470322143,0.634990125690022
1000,3,"IPCW-TMLE",0.373404664274281,0.177334217297708,0.569475111250853
1000,3,"IPCW-TMLE-target-Pi-true-Pi",0.360952973089896,0.172733307668239,0.549172638511553
1000,3,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.360952973089896,0.172733307668239,0.549172638511553
1000,4,"IPCW-TMLE",0.314707450455379,0.1397592669662,0.489655633944557
1000,4,"IPCW-TMLE-target-Pi-true-Pi",0.333684083283102,0.148411055474594,0.518957111091609
1000,4,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.333684083283102,0.148411055474594,0.518957111091609
1000,5,"IPCW-TMLE",0.7585692060975,0.541908501394885,0.975229910800115
1000,5,"IPCW-TMLE-target-Pi-true-Pi",0.773593193713703,0.552823392384633,0.994362995042774
1000,5,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.773593193713703,0.552823392384633,0.994362995042774
1000,6,"IPCW-TMLE",0.557818594640087,0.299918569441384,0.81571861983879
1000,6,"IPCW-TMLE-target-Pi-true-Pi",0.507501496522437,0.273118213393394,0.74188477965148
1000,6,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.507501496522437,0.273118213393394,0.74188477965148
1000,7,"IPCW-TMLE",0.35504684432579,0.0904870402234476,0.619606648428133
1000,7,"IPCW-TMLE-target-Pi-true-Pi",0.356048997829381,0.0919818860171937,0.620116109641569
1000,7,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.356048997829381,0.0919818860171937,0.620116109641569
1000,8,"IPCW-TMLE",0.642460998988811,0.394076837198292,0.89084516077933
1000,8,"IPCW-TMLE-target-Pi-true-Pi",0.646099093813769,0.397334888632846,0.894863298994692
1000,8,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.646099093813769,0.397334888632846,0.894863298994692
1000,9,"IPCW-TMLE",0.318029118303191,0.0809363071534496,0.555121929452933
1000,9,"IPCW-TMLE-target-Pi-true-Pi",0.328191192199852,0.0852675676689703,0.571114816730734
1000,9,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.328188556472642,0.0852671442372525,0.571109968708032
1000,10,"IPCW-TMLE",0.382062733192013,0.174203419142493,0.589922047241534
1000,10,"IPCW-TMLE-target-Pi-true-Pi",0.402459548821881,0.184283249489698,0.620635848154064
1000,10,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.402459548821881,0.184283249489698,0.620635848154064
1000,11,"IPCW-TMLE",0.511543704673605,0.298162756900594,0.724924652446615
1000,11,"IPCW-TMLE-target-Pi-true-Pi",0.540628051178986,0.316737865676819,0.764518236681153
1000,11,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.540628051178986,0.316737865676819,0.764518236681153
1000,12,"IPCW-TMLE",0.401120193743319,0.189107490128656,0.613132897357982
1000,12,"IPCW-TMLE-target-Pi-true-Pi",0.370793002340291,0.176240517782007,0.565345486898575
1000,12,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.370793002340291,0.176240517782007,0.565345486898575
1000,13,"IPCW-TMLE",0.518539749410694,0.297863782143701,0.739215716677686
1000,13,"IPCW-TMLE-target-Pi-true-Pi",0.499794492467694,0.287866171556824,0.711722813378564
1000,13,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.499802016366851,0.287870080538828,0.711733952194874
1000,14,"IPCW-TMLE",0.318532870926308,0.108154428330226,0.528911313522391
1000,14,"IPCW-TMLE-target-Pi-true-Pi",0.321973062693179,0.110736112217444,0.533210013168913
1000,14,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.321973062693179,0.110736112217444,0.533210013168913
1000,15,"IPCW-TMLE",0.401574178224313,0.178526386572536,0.62462196987609
1000,15,"IPCW-TMLE-target-Pi-true-Pi",0.421288116619211,0.187547447586193,0.655028785652229
1000,15,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.421288116619211,0.187547447586193,0.655028785652229
1000,16,"IPCW-TMLE",0.529694203617696,0.305243058745124,0.754145348490268
1000,16,"IPCW-TMLE-target-Pi-true-Pi",0.528434073127905,0.306692325521469,0.750175820734342
1000,16,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.528434073127905,0.306692325521469,0.750175820734342
1000,17,"IPCW-TMLE",0.33848675504172,0.137176841754135,0.539796668329306
1000,17,"IPCW-TMLE-target-Pi-true-Pi",0.337714593372362,0.137384893200385,0.538044293544339
1000,17,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.337714593372362,0.137384893200385,0.538044293544339
1000,18,"IPCW-TMLE",0.307159069155011,0.0904005085561435,0.523917629753878
1000,18,"IPCW-TMLE-target-Pi-true-Pi",0.306455259219687,0.0908156920084732,0.522094826430901
1000,18,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.306455259219687,0.0908156920084732,0.522094826430901
1000,19,"IPCW-TMLE",0.345591430681941,0.120409076222973,0.570773785140909
1000,19,"IPCW-TMLE-target-Pi-true-Pi",0.344650464476536,0.121762597360289,0.567538331592783
1000,19,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.344650464476536,0.121762597360289,0.567538331592783
1000,20,"IPCW-TMLE",0.447747022544988,0.270341086937883,0.625152958152093
1000,20,"IPCW-TMLE-target-Pi-true-Pi",0.457976487276948,0.277295188414513,0.638657786139382
1000,20,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.457976487276948,0.277295188414513,0.638657786139382
1000,21,"IPCW-TMLE",0.425346351799858,0.213753661686005,0.63693904191371
1000,21,"IPCW-TMLE-target-Pi-true-Pi",0.410445082317256,0.207040455400242,0.613849709234271
1000,21,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.410445082317256,0.207040455400242,0.613849709234271
1000,22,"IPCW-TMLE",0.428578956868739,0.177672513223859,0.679485400513619
1000,22,"IPCW-TMLE-target-Pi-true-Pi",0.406416270918118,0.168701475858464,0.644131065977773
1000,22,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.406416270918118,0.168701475858464,0.644131065977773
1000,23,"IPCW-TMLE",0.518541713288983,0.329379795937202,0.707703630640764
1000,23,"IPCW-TMLE-target-Pi-true-Pi",0.51140794148433,0.325743794435417,0.697072088533244
1000,23,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.51140794148433,0.325743794435417,0.697072088533244
1000,24,"IPCW-TMLE",0.570655720078364,0.326771591116704,0.814539849040024
1000,24,"IPCW-TMLE-target-Pi-true-Pi",0.573640796988146,0.329298635145226,0.817982958831066
1000,24,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.573640796988146,0.329298635145226,0.817982958831066
1000,25,"IPCW-TMLE",0.352251778921132,0.111498225300807,0.593005332541456
1000,25,"IPCW-TMLE-target-Pi-true-Pi",0.340673176460661,0.109869619609161,0.571476733312162
1000,25,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.340673176460661,0.109869619609161,0.571476733312162
1000,26,"IPCW-TMLE",0.57603972722414,0.373845952142584,0.778233502305696
1000,26,"IPCW-TMLE-target-Pi-true-Pi",0.557923715860299,0.36247339301555,0.753374038705049
1000,26,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.557923715860299,0.36247339301555,0.753374038705049
1000,27,"IPCW-TMLE",0.310215637488934,0.112049815505053,0.508381459472816
