"n","b","est_name","psi","lower","upper"
500,1,"IPCW-TMLE",0.0840360410799816,-0.0707281719503319,0.238800254110295
500,1,"IPCW-TMLE-imp-plugin-MI",0.0568839976617631,-0.086899034461899,0.200667029785425
500,1,"A-IPCW",-0.366818637799146,-1.23443434183028,0.270417617808038
500,1,"raking",0.0948439165060806,0.0169856974383629,0.172702135573798
500,2,"IPCW-TMLE",0.0388781627316779,-0.0722038652629206,0.149960190726276
500,2,"IPCW-TMLE-imp-plugin-MI",0.0381985036601847,-0.0566976499675681,0.133094657287938
500,2,"A-IPCW",0.0363587749943193,-0.0573203714683887,0.105163141078305
500,2,"raking",0.0731279491975514,-0.0159526075303771,0.16220850592548
500,3,"IPCW-TMLE",0.0464079257161896,-0.0435206737108881,0.136336525143267
500,3,"IPCW-TMLE-imp-plugin-MI",0.158627929063822,-0.0228891903978239,0.340145048525468
500,3,"A-IPCW",-0.150794874049974,-0.534606018481884,0.131102255522178
500,3,"raking",0.0130958541040643,-0.142407061776773,0.168598769984902
500,4,"IPCW-TMLE",0.152490150135855,0.0125574484720091,0.292422851799701
500,4,"IPCW-TMLE-imp-plugin-MI",0.116197169028621,-0.0579136852328131,0.290308023290056
500,4,"A-IPCW",-0.119405116872951,-0.683357084447697,0.294799741902565
500,4,"raking",0.080720618291011,-0.00189556559094371,0.163336802172966
500,5,"IPCW-TMLE",0.00285974647522365,-0.120104541639541,0.125824034589988
500,5,"IPCW-TMLE-imp-plugin-MI",0.0317077558948656,-0.0723167557208001,0.135732267510531
500,5,"A-IPCW",0.0227896999350259,-0.088544530836761,0.10456116627466
500,5,"raking",0.105519807153436,0.000844175921929188,0.210195438384942
500,6,"IPCW-TMLE",0.0720285947597036,0.0107822273168644,0.133274962202543
500,6,"IPCW-TMLE-imp-plugin-MI",0.113117786688979,0.049740682418909,0.176494890959048
500,6,"A-IPCW",0.048977775282766,-0.0544671143718971,0.124954770441985
500,6,"raking",0.0335484614561295,-0.0549613505004702,0.122058273412729
500,7,"IPCW-TMLE",0.114308428407358,-0.0444149564457216,0.273031813260438
500,7,"IPCW-TMLE-imp-plugin-MI",0.0411015387994135,-0.180026288803197,0.262229366402024
500,7,"A-IPCW",0.153834125341097,-0.0326369114289861,0.29079119596403
500,7,"raking",0.0412288178471197,-0.0546938272388026,0.137151462933042
500,8,"IPCW-TMLE",0.019217013920231,-0.0899717125442467,0.128405740384709
500,8,"IPCW-TMLE-imp-plugin-MI",0.0300266442369743,-0.0984907340155998,0.158544022489548
500,8,"A-IPCW",0.0262069400956848,-0.101998933821647,0.120370093969391
500,8,"raking",0.0582655576576373,-0.0245971977745101,0.141128313089785
500,9,"IPCW-TMLE",0.058143661688522,-0.037511699006784,0.153799022383828
500,9,"IPCW-TMLE-imp-plugin-MI",0.0883991628434286,-0.488677162025126,0.665475487711984
500,9,"A-IPCW",0.293154036916233,-0.225633634059525,0.674187150277101
500,9,"raking",0.0416903774622342,-0.0779464758615314,0.161327230786
500,10,"IPCW-TMLE",0.0676818077608006,-0.0188993513543025,0.154262966875904
500,10,"IPCW-TMLE-imp-plugin-MI",0.0759985112648757,-0.00423633504916425,0.156233357578916
500,10,"A-IPCW",0.0652609360593717,-0.0139506955657325,0.123439370708251
500,10,"raking",0.0482293137915013,-0.0315078343931508,0.127966461976153
500,11,"IPCW-TMLE",0.130872361855695,0.0185034966518717,0.243241227059518
500,11,"IPCW-TMLE-imp-plugin-MI",0.128549177663398,-0.0078908175779914,0.264989172904787
500,11,"A-IPCW",430.728436335701,-413.340396530672,1050.67026084559
500,11,"raking",0.0485568589383966,-0.0405370772109899,0.137650795087783
500,12,"IPCW-TMLE",0.0490301463937874,-0.0304357771234162,0.128496069910991
500,12,"IPCW-TMLE-imp-plugin-MI",0.115583521866186,-0.0314978141562331,0.262664857888605
500,12,"A-IPCW",0.0715421206254063,-0.0402641436576107,0.153660280628859
500,12,"raking",0.115742338714268,0.0554087166675027,0.176075960761033
500,13,"IPCW-TMLE",0.000310972396953935,-0.153007688523627,0.153629633317535
500,13,"IPCW-TMLE-imp-plugin-MI",0.0505836272750863,-0.0732851205165259,0.174452375066698
500,13,"A-IPCW",0.0348816301892349,-0.0827311211518724,0.121264471034606
500,13,"raking",0.0370759337102009,-0.0417985781883501,0.115950445608752
500,14,"IPCW-TMLE",-0.0460897155801375,-0.172263892048024,0.0800844608877492
500,14,"IPCW-TMLE-imp-plugin-MI",0.00202339788165362,-0.135185086430229,0.139231882193536
500,14,"A-IPCW",-0.0502495149079903,-0.181084308560787,0.0458444972486348
500,14,"raking",0.0077404284584264,-0.0654299119666474,0.0809107688835002
500,15,"IPCW-TMLE",0.0133987138501467,-0.0775816508983988,0.104379078598692
500,15,"IPCW-TMLE-imp-plugin-MI",-0.00341973037713773,-0.0905609153337204,0.083721454579445
500,15,"A-IPCW",0.0270907348535402,-0.0616872778658143,0.0922953734310577
500,15,"raking",0.0128233829804852,-0.0668525513029462,0.0924993172639165
500,16,"IPCW-TMLE",0.22208078453008,0.0951689888510728,0.348992580209087
500,16,"IPCW-TMLE-imp-plugin-MI",0.159623632408987,0.04550860101518,0.273738663802793
500,16,"A-IPCW",0.169155851802251,0.0541087565540417,0.253654299506491
500,16,"raking",0.0834951283358418,0.00865640707989647,0.158333849591787
500,17,"IPCW-TMLE",0.0175546806192943,-0.128066184485026,0.163175545723614
500,17,"IPCW-TMLE-imp-plugin-MI",-0.0186748727794408,-0.148387626652532,0.111037881093651
500,17,"A-IPCW",0.0242955475433244,-0.104684039709873,0.119026969357283
500,17,"raking",0.000343269004478675,-0.0933224214845475,0.0940089594935049
500,18,"IPCW-TMLE",0.0381924467588396,-0.0347384573062925,0.111123350823972
500,18,"IPCW-TMLE-imp-plugin-MI",0.0300236217191912,-0.0552648265767032,0.115312070015086
500,18,"A-IPCW",0.0435320103548044,-0.0406548461445099,0.105364590099163
500,18,"raking",0.0135502401832511,-0.0904134832995591,0.117513963666061
500,19,"IPCW-TMLE",-0.00708741627999604,-0.111891979490116,0.0977171469301243
500,19,"IPCW-TMLE-imp-plugin-MI",0.0116593502248546,-0.0842999308617537,0.107618631311463
500,19,"A-IPCW",0.0241873545733713,-0.0724587448126173,0.095170853610587
500,19,"raking",-0.0109547210627062,-0.112762031131328,0.0908525890059157
500,20,"IPCW-TMLE",-0.00622130883703906,-0.178574617724543,0.166132000050465
500,20,"IPCW-TMLE-imp-plugin-MI",-0.0606377770147943,-0.238046316447668,0.116770762418079
500,20,"A-IPCW",-0.0360113003964341,-0.211015185915276,0.0925235108184787
500,20,"raking",-0.0125632998669837,-0.106532224043605,0.0814056243096379
500,21,"IPCW-TMLE",0.0535620765772969,-0.069480213736694,0.176604366891288
500,21,"IPCW-TMLE-imp-plugin-MI",0.00244375003476698,-0.102508257064377,0.107395757133911
500,21,"A-IPCW",0.0748318543165671,-0.0258078609291368,0.148748537717499
500,21,"raking",0.0880169156819534,0.00478854409988901,0.171245287264018
500,22,"IPCW-TMLE",-0.059740653044872,-0.241342677596388,0.121861371506644
500,22,"IPCW-TMLE-imp-plugin-MI",0.00971208677550854,-0.136525043179828,0.155949216730845
500,22,"A-IPCW",-0.03626155961142,-0.209297981161049,0.0908282116313503
500,22,"raking",0.0524332235957819,-0.0254292232702563,0.13029567046182
500,23,"IPCW-TMLE",0.0647011243397658,-0.0337818427340975,0.163184091413629
500,23,"IPCW-TMLE-imp-plugin-MI",0.0478679266133903,-0.0513778755758013,0.147113728802582
