"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.125587965633304,0.0579806876749247,0.193195243591684
1000,1,"IPCW-TMLE-imp-plugin",0.151092217707528,0.102323585991441,0.199860849423615
1000,1,"A-IPCW",0.15305789267881,0.105402354668907,0.188059376007525
1000,1,"raking",0.145219962109973,0.101537804019215,0.18890212020073
1000,2,"IPCW-TMLE",0.117443016969839,0.038990614726428,0.195895419213251
1000,2,"IPCW-TMLE-imp-plugin",0.108698914564535,0.0539353780161597,0.16346245111291
1000,2,"A-IPCW",0.108533942569312,0.0539217549518131,0.148644864704768
1000,2,"raking",0.0884099379466312,0.0404832044028519,0.13633667149041
1000,3,"IPCW-TMLE",0.0846194524481376,0.00620269523175972,0.163036209664516
1000,3,"IPCW-TMLE-imp-plugin",0.117649703089326,0.0616154621838655,0.173683943994787
1000,3,"A-IPCW",0.117589652798846,0.0615833457006189,0.158724511538539
1000,3,"raking",0.111211727306335,0.0611668263347777,0.161256628277893
1000,4,"IPCW-TMLE",0.109745205877544,0.0334270910379575,0.18606332071713
1000,4,"IPCW-TMLE-imp-plugin",0.11432769805864,0.061819047528129,0.16683634858915
1000,4,"A-IPCW",0.114218662053328,0.0616026382397673,0.152863465097014
1000,4,"raking",0.104642346789296,0.046818244903721,0.16246644867487
1000,5,"IPCW-TMLE",0.133153758590193,0.066679100927434,0.199628416252951
1000,5,"IPCW-TMLE-imp-plugin",0.133553706294939,0.0814183758492285,0.18568903674065
1000,5,"A-IPCW",0.133975066274299,0.0825128599644173,0.17177242690508
1000,5,"raking",0.13338903882775,0.0859684278820606,0.18080964977344
1000,6,"IPCW-TMLE",0.088019388233304,-0.00134751937470309,0.177386295841311
1000,6,"IPCW-TMLE-imp-plugin",0.131970526796476,0.0778519705338511,0.186089083059102
1000,6,"A-IPCW",0.131696342719439,0.0774794605656841,0.171516925511835
1000,6,"raking",0.106734315538189,0.0507181702855608,0.162750460790816
1000,7,"IPCW-TMLE",0.119450270919055,0.0504828809979514,0.188417660840159
1000,7,"IPCW-TMLE-imp-plugin",0.132843173478251,0.0853008524650858,0.180385494491416
1000,7,"A-IPCW",0.132752548710672,0.0853839557258144,0.167543280006573
1000,7,"raking",0.139586843788476,0.0923523272488986,0.186821360328054
1000,8,"IPCW-TMLE",0.050135896449396,-0.0217871427088556,0.122058935607648
1000,8,"IPCW-TMLE-imp-plugin",0.0866930526686777,0.0290823403497513,0.144303764987604
1000,8,"A-IPCW",0.0856923647031046,0.0274280033294524,0.128485692791317
1000,8,"raking",0.0864527478860486,0.0352302762149835,0.137675219557114
1000,9,"IPCW-TMLE",0.0884290586595138,0.0133142682507396,0.163543849068288
1000,9,"IPCW-TMLE-imp-plugin",0.108538519604131,0.0569435741370221,0.16013346507124
1000,9,"A-IPCW",0.108453718626726,0.0568020918169795,0.146390202615358
1000,9,"raking",0.108067892449589,0.0574555742126736,0.158680210686504
1000,10,"IPCW-TMLE",0.114674911479626,0.0478226874208159,0.181527135538437
1000,10,"IPCW-TMLE-imp-plugin",0.111584650161271,0.0666872617498012,0.15648203857274
1000,10,"A-IPCW",0.11165449630523,0.0667572433191524,0.144630106643964
1000,10,"raking",0.110637711148283,0.06106685995908,0.160208562337486
1000,11,"IPCW-TMLE",0.0724699709504045,0.00328508102408251,0.141654860876727
1000,11,"IPCW-TMLE-imp-plugin",0.102578066866918,0.050796436846904,0.154359696886932
1000,11,"A-IPCW",0.102444598615166,0.0508351920554791,0.140350073167323
1000,11,"raking",0.0907238270868115,0.0433012090257552,0.138146445147868
1000,12,"IPCW-TMLE",0.0968492616418768,0.0192920821871157,0.174406441096638
1000,12,"IPCW-TMLE-imp-plugin",0.104491802092196,0.0536889693921144,0.155294634792278
1000,12,"A-IPCW",0.104842519921145,0.0540014803753724,0.142183653237194
1000,12,"raking",0.103168346130024,0.050746540548861,0.155590151711188
1000,13,"IPCW-TMLE",0.110043887157352,0.0431184723997058,0.176969301914999
1000,13,"IPCW-TMLE-imp-plugin",0.0990590439655865,0.0511923060119096,0.146925781919263
1000,13,"A-IPCW",0.0994929504581721,0.0518266276558596,0.134502354875337
1000,13,"raking",0.0993649582965702,0.050527968736661,0.148201947856479
1000,14,"IPCW-TMLE",0.188532617832991,0.106007511901648,0.271057723764333
1000,14,"IPCW-TMLE-imp-plugin",0.172639989817868,0.116963472082533,0.228316507553203
1000,14,"A-IPCW",0.174132187169241,0.119012764798537,0.214615657165858
1000,14,"raking",0.162775340529158,0.110774932124322,0.214775748933993
1000,15,"IPCW-TMLE",0.0862010100143725,0.00302634517938755,0.169375674849358
1000,15,"IPCW-TMLE-imp-plugin",0.0781531814979888,0.0267428467401842,0.129563516255793
1000,15,"A-IPCW",0.078995776475936,0.02794587917314,0.116490309199606
1000,15,"raking",0.0740102492900956,0.0243956583718485,0.123624840208343
1000,16,"IPCW-TMLE",0.102654594566219,0.035725996655799,0.169583192476639
1000,16,"IPCW-TMLE-imp-plugin",0.125152420932834,0.0741163257906015,0.176188516075066
1000,16,"A-IPCW",0.125393882990585,0.0744458333695621,0.162813611817698
1000,16,"raking",0.107399801561361,0.057882791796951,0.15691681132577
1000,17,"IPCW-TMLE",0.179543721712253,0.0916806557629259,0.267406787661581
1000,17,"IPCW-TMLE-imp-plugin",0.114433120440194,0.0600373423950476,0.168828898485341
1000,17,"A-IPCW",0.114437461965019,0.0600412065111197,0.154389788765285
1000,17,"raking",0.0983387689419817,0.0440341209872716,0.152643416896692
1000,18,"IPCW-TMLE",0.0947371831764228,0.0234386840699378,0.166035682282908
1000,18,"IPCW-TMLE-imp-plugin",0.103732467691293,0.0562109437494818,0.151253991633104
1000,18,"A-IPCW",0.103334702705104,0.0555624200215939,0.138421931299062
1000,18,"raking",0.107444586263103,0.0579397495069519,0.156949423019255
1000,19,"IPCW-TMLE",0.164286736644733,0.0948935666577867,0.233679906631679
1000,19,"IPCW-TMLE-imp-plugin",0.159401609658663,0.111076872023123,0.207726347294204
1000,19,"A-IPCW",0.155829772262383,0.108107188027615,0.190880498919782
1000,19,"raking",0.162417881169626,0.112805686873479,0.212030075465772
1000,20,"IPCW-TMLE",0.131870412288407,0.0565541753082513,0.207186649268564
1000,20,"IPCW-TMLE-imp-plugin",0.131387555312289,0.079980909165846,0.182794201458732
1000,20,"A-IPCW",0.131375117824439,0.0795555501612607,0.169434949050917
1000,20,"raking",0.125248578233664,0.0755342625082717,0.174962893959057
1000,21,"IPCW-TMLE",0.0864053828834974,0.0214532722401636,0.151357493526831
1000,21,"IPCW-TMLE-imp-plugin",0.0903654060202736,0.0382029828065806,0.142527829233967
1000,21,"A-IPCW",0.089361290005646,0.0372664401355442,0.12762330729441
1000,21,"raking",0.0933608802908041,0.042267378101414,0.144454382480194
1000,22,"IPCW-TMLE",0.121381329290609,0.051144253131722,0.191618405449496
1000,22,"IPCW-TMLE-imp-plugin",0.108448452749775,0.0632185290357761,0.153678376463775
1000,22,"A-IPCW",0.108569911020389,0.0633848298069715,0.141756922076049
1000,22,"raking",0.110606338429855,0.0600832737217243,0.161129403137986
1000,23,"IPCW-TMLE",0.119469926262419,0.0303719954547333,0.208567857070105
1000,23,"IPCW-TMLE-imp-plugin",0.118951017927319,0.0655345052016108,0.172367530653028
