"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.521385942698695,0.28949022898747,0.75328165640992
1000,1,"IPCW-TMLE-target-Pi-true-Pi",0.517266416126334,0.288940841407219,0.74559199084545
1000,1,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.519222610965498,0.293799241006739,0.744645980924257
1000,2,"IPCW-TMLE",0.373728481859623,0.145119575361949,0.602337388357298
1000,2,"IPCW-TMLE-target-Pi-true-Pi",0.391806798006083,0.148623470322143,0.634990125690023
1000,2,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.390221879388505,0.14849709919797,0.63194665957904
1000,3,"IPCW-TMLE",0.373404664274281,0.177334217297709,0.569475111250854
1000,3,"IPCW-TMLE-target-Pi-true-Pi",0.360952973089896,0.17273330766824,0.549172638511553
1000,3,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.363317783273103,0.17201667157917,0.554618894967036
1000,4,"IPCW-TMLE",0.314707450455377,0.139759266966199,0.489655633944556
1000,4,"IPCW-TMLE-target-Pi-true-Pi",0.333684083283101,0.148411055474593,0.518957111091608
1000,4,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.335490864044174,0.149124695276644,0.521857032811703
1000,5,"IPCW-TMLE",0.758569206097499,0.541908501394885,0.975229910800114
1000,5,"IPCW-TMLE-target-Pi-true-Pi",0.773593193713702,0.552823392384632,0.994362995042773
1000,5,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.773576356266291,0.560823109782574,0.986329602750008
1000,6,"IPCW-TMLE",0.557818594640087,0.299918569441384,0.81571861983879
1000,6,"IPCW-TMLE-target-Pi-true-Pi",0.507501496522437,0.273118213393394,0.74188477965148
1000,6,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.503986624696725,0.274739293919231,0.733233955474219
1000,7,"IPCW-TMLE",0.355046844325791,0.0904870402234481,0.619606648428133
1000,7,"IPCW-TMLE-target-Pi-true-Pi",0.356048997829381,0.0919818860171936,0.620116109641569
1000,7,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.354408444945165,0.0852615089449856,0.623555380945344
1000,8,"IPCW-TMLE",0.0768602636140191,-0.131869598463995,0.285590125692034
1000,8,"IPCW-TMLE-target-Pi-true-Pi",0.0782696486764416,-0.133750661327708,0.290289958680591
1000,8,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.0777440665921112,-0.13537193628718,0.290860069471403
1000,9,"IPCW-TMLE",0.379513546898809,0.185688680158314,0.573338413639304
1000,9,"IPCW-TMLE-target-Pi-true-Pi",0.382182447789745,0.189048905255743,0.575315990323746
1000,9,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.381114545384945,0.177025892158718,0.585203198611172
1000,10,"IPCW-TMLE",0.336119759509784,0.0745679259288429,0.597671593090724
1000,10,"IPCW-TMLE-target-Pi-true-Pi",0.327646776561758,0.0727343594158779,0.582559193707638
1000,10,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.329477445494877,0.0823810580658867,0.576573832923867
1000,11,"IPCW-TMLE",0.572317777643918,0.347788786333384,0.796846768954451
1000,11,"IPCW-TMLE-target-Pi-true-Pi",0.587151864864749,0.35727025984738,0.817033469882117
1000,11,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.589605164918833,0.330986998584568,0.848223331253098
1000,12,"IPCW-TMLE",0.313208061529685,0.08320464430068,0.54321147875869
1000,12,"IPCW-TMLE-target-Pi-true-Pi",0.310713216949878,0.0840457302864358,0.53738070361332
1000,12,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.311936821393619,0.0563215738767596,0.567552068910478
1000,13,"IPCW-TMLE",0.449253069727871,0.239181889522866,0.659324249932876
1000,13,"IPCW-TMLE-target-Pi-true-Pi",0.452213158473118,0.241680593490155,0.662745723456082
1000,13,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.454876336360703,0.24171248771149,0.668040185009916
1000,14,"IPCW-TMLE",0.216138381306104,-0.0394719531753428,0.47174871578755
1000,14,"IPCW-TMLE-target-Pi-true-Pi",0.210022271535539,-0.0374313573046584,0.457475900375736
1000,14,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.208563573676108,-0.0588358476056479,0.475962994957865
1000,15,"IPCW-TMLE",0.341492181699821,0.0795797313236061,0.603404632076036
1000,15,"IPCW-TMLE-target-Pi-true-Pi",0.337498831656129,0.0787982561414386,0.596199407170819
1000,15,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.33573004185963,0.0722562615538741,0.599203822165386
1000,16,"IPCW-TMLE",0.413948271798297,0.202428866081817,0.625467677514777
1000,16,"IPCW-TMLE-target-Pi-true-Pi",0.410427047574196,0.201204645656745,0.619649449491647
1000,16,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.412891231513564,0.203527511862672,0.622254951164457
1000,17,"IPCW-TMLE",0.418533546867942,0.2131037374301,0.623963356305783
1000,17,"IPCW-TMLE-target-Pi-true-Pi",0.415708412990667,0.211964407039008,0.619452418942327
1000,17,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.413632374957755,0.213675866642371,0.613588883273139
1000,18,"IPCW-TMLE",0.381977548213211,0.0843952029284641,0.679559893497958
1000,18,"IPCW-TMLE-target-Pi-true-Pi",0.366578324746052,0.0813165429434135,0.65184010654869
1000,18,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.364052088472441,0.0821218462189393,0.645982330725943
1000,19,"IPCW-TMLE",0.382495151926659,0.168968559499034,0.596021744354284
1000,19,"IPCW-TMLE-target-Pi-true-Pi",0.385853659529372,0.171083014197951,0.600624304860794
1000,19,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.383925660398777,0.1701549042709,0.597696416526654
1000,20,"IPCW-TMLE",0.561100067577172,0.340345982091803,0.78185415306254
1000,20,"IPCW-TMLE-target-Pi-true-Pi",0.555296185912874,0.338661226105184,0.771931145720564
1000,20,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.558380953300418,0.340698213528939,0.776063693071898
1000,21,"IPCW-TMLE",0.407461283285233,0.186930641588122,0.627991924982344
1000,21,"IPCW-TMLE-target-Pi-true-Pi",0.413732459704769,0.190998979732588,0.636465939676949
1000,21,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.411744774029103,0.190314451647272,0.633175096410934
1000,22,"IPCW-TMLE",0.421484425130779,0.200398735606957,0.6425701146546
1000,22,"IPCW-TMLE-target-Pi-true-Pi",0.412475663956244,0.195810015015138,0.629141312897349
1000,22,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.414109598503407,0.195492418890255,0.63272677811656
1000,23,"IPCW-TMLE",0.426838310987358,0.132459895119608,0.721216726855107
1000,23,"IPCW-TMLE-target-Pi-true-Pi",0.421468722295248,0.131020238322384,0.711917206268112
1000,23,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.418702931852631,0.131982384128295,0.705423479576967
1000,24,"IPCW-TMLE",0.397519681962014,0.120479787050948,0.674559576873081
1000,24,"IPCW-TMLE-target-Pi-true-Pi",0.356448862101441,0.108419641899445,0.604478082303438
1000,24,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.354919515479079,0.112003581701577,0.597835449256581
1000,25,"IPCW-TMLE",0.164240020740555,-0.0504843135754397,0.37896435505655
1000,25,"IPCW-TMLE-target-Pi-true-Pi",0.161545761181413,-0.0491801760152001,0.372271698378026
1000,25,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.160739659329715,-0.0464466144342011,0.367925933093631
1000,26,"IPCW-TMLE",0.496947837971077,0.310784218597671,0.683111457344483
1000,26,"IPCW-TMLE-target-Pi-true-Pi",0.522067097551203,0.327073986397091,0.717060208705316
1000,26,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.520431524146757,0.324080855867956,0.716782192425557
1000,27,"IPCW-TMLE",0.641189537059269,0.400193822619388,0.88218525149915
1000,27,"IPCW-TMLE-target-Pi-true-Pi",0.659902440158389,0.412257381308427,0.90754749900835
1000,27,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.653238927743403,0.443642356049145,0.862835499437662
1000,28,"IPCW-TMLE",0.341916665324725,0.119302406052666,0.564530924596784
1000,28,"IPCW-TMLE-target-Pi-true-Pi",0.368345342857117,0.130019789101956,0.606670896612277
1000,28,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.368519840541926,0.099544986600829,0.637494694483024
1000,29,"IPCW-TMLE",0.361860130365646,0.143303781660994,0.580416479070298
1000,29,"IPCW-TMLE-target-Pi-true-Pi",0.332473525981121,0.133289474145804,0.531657577816439
1000,29,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.333581611875653,0.134797400938118,0.532365822813189
1000,30,"IPCW-TMLE",0.400010302660755,0.201060215984297,0.598960389337213
1000,30,"IPCW-TMLE-target-Pi-true-Pi",0.413843486917517,0.208622908108371,0.619064065726663
1000,30,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.411664579997419,0.202630243830891,0.620698916163947
1000,31,"IPCW-TMLE",0.49234980829241,0.221189916426343,0.763509700158478
1000,31,"IPCW-TMLE-target-Pi-true-Pi",0.500393238149173,0.225754092749862,0.775032383548484
1000,31,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.499666281970958,0.251846022907535,0.74748654103438
1000,32,"IPCW-TMLE",0.4508592474317,0.274386823589084,0.627331671274316
1000,32,"IPCW-TMLE-target-Pi-true-Pi",0.45395649266487,0.27663045543261,0.631282529897129
1000,32,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.452585289691841,0.273969212777417,0.631201366606265
1000,33,"IPCW-TMLE",0.563448548170759,0.363242254269499,0.763654842072019
1000,33,"IPCW-TMLE-target-Pi-true-Pi",0.525923386196859,0.341094126484096,0.710752645909622
1000,33,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.523127417103045,0.327442064002312,0.718812770203778
1000,34,"IPCW-TMLE",0.492561815217449,0.273896801592143,0.711226828842755
1000,34,"IPCW-TMLE-target-Pi-true-Pi",0.454324078135354,0.252767632899698,0.65588052337101
1000,34,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.451912739666338,0.251021443492917,0.652804035839759
1000,35,"IPCW-TMLE",0.503046761437713,0.286129881335383,0.719963641540044
1000,35,"IPCW-TMLE-target-Pi-true-Pi",0.501512405307503,0.285708272006003,0.717316538609002
1000,35,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.503646754824764,0.290170466443329,0.717123043206198
1000,36,"IPCW-TMLE",0.248160260382283,0.0382361158249731,0.458084404939594
1000,36,"IPCW-TMLE-target-Pi-true-Pi",0.260915035099893,0.0413314254657302,0.480498644734055
1000,36,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.259387371163878,0.044949584512567,0.47382515781519
1000,37,"IPCW-TMLE",0.395173924954452,0.20382688527132,0.586520964637584
1000,37,"IPCW-TMLE-target-Pi-true-Pi",0.402781079620413,0.208207473934678,0.597354685306149
1000,37,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.404386843830971,0.212577776702645,0.596195910959298
1000,38,"IPCW-TMLE",0.518897573813206,0.292945617693511,0.744849529932901
1000,38,"IPCW-TMLE-target-Pi-true-Pi",0.501332599705228,0.283075937234568,0.719589262175887
1000,38,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.503898374056748,0.284970616059235,0.722826132054261
1000,39,"IPCW-TMLE",0.591428150944163,0.372195288600509,0.810661013287818
1000,39,"IPCW-TMLE-target-Pi-true-Pi",0.611581649928635,0.38532799049092,0.83783530936635
1000,39,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.613933937909769,0.360729010613531,0.867138865206006
1000,40,"IPCW-TMLE",0.3416709286583,0.127484996398035,0.555856860918565
1000,40,"IPCW-TMLE-target-Pi-true-Pi",0.329897368097253,0.123828324150728,0.535966412043777
1000,40,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.328116241750166,0.126334927530435,0.529897555969896
1000,41,"IPCW-TMLE",0.618364378285762,0.425299901438431,0.811428855133093
1000,41,"IPCW-TMLE-target-Pi-true-Pi",0.607271942549487,0.41948684137785,0.795057043721124
1000,41,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.6089836097661,0.415226406875862,0.802740812656338
1000,42,"IPCW-TMLE",0.535637674564012,0.319279826277882,0.751995522850141
1000,42,"IPCW-TMLE-target-Pi-true-Pi",0.541252682984932,0.323794389474886,0.758710976494978
1000,42,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.537687621146136,0.31054696245756,0.764828279834712
1000,43,"IPCW-TMLE",0.38419820695485,0.181651602736939,0.58674481117276
1000,43,"IPCW-TMLE-target-Pi-true-Pi",0.376608271367091,0.178736391239349,0.574480151494833
1000,43,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.377097248244509,0.179279472252344,0.574915024236674
1000,44,"IPCW-TMLE",0.373964792052409,0.148059935063933,0.599869649040885
1000,44,"IPCW-TMLE-target-Pi-true-Pi",0.36399010363183,0.14643502837606,0.581545178887599
1000,44,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.362150584542734,0.148117341882163,0.576183827203306
1000,45,"IPCW-TMLE",0.409108249106727,0.19004190652014,0.628174591693314
1000,45,"IPCW-TMLE-target-Pi-true-Pi",0.378923673091032,0.177608341807527,0.580239004374538
1000,45,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.380822224657981,0.180360695577456,0.581283753738506
1000,46,"IPCW-TMLE",0.577328187878995,0.381293606007537,0.773362769750453
1000,46,"IPCW-TMLE-target-Pi-true-Pi",0.584577035195361,0.386755541826022,0.7823985285647
1000,46,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.58671324287454,0.388845744126192,0.784580741622887
1000,47,"IPCW-TMLE",0.410006983513013,0.197570992197784,0.622442974828241
1000,47,"IPCW-TMLE-target-Pi-true-Pi",0.400341773492991,0.193262543485837,0.607421003500146
1000,47,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.402433489457998,0.191354324249419,0.613512654666576
1000,48,"IPCW-TMLE",0.417573192356581,0.202252016265088,0.632894368448074
1000,48,"IPCW-TMLE-target-Pi-true-Pi",0.40255211517574,0.196105725788162,0.60899850456332
1000,48,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.403974279318925,0.196798481949436,0.611150076688414
1000,49,"IPCW-TMLE",0.369796995004532,0.154345553232705,0.58524843677636
1000,49,"IPCW-TMLE-target-Pi-true-Pi",0.345168643429543,0.144731508331119,0.545605778527967
1000,49,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.347000850304224,0.145481328260151,0.548520372348296
1000,50,"IPCW-TMLE",0.526922991636445,0.333021840855677,0.720824142417213
1000,50,"IPCW-TMLE-target-Pi-true-Pi",0.535134224926558,0.341066023417864,0.729202426435252
1000,50,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.534149693701178,0.341289569460005,0.72700981794235
1000,51,"IPCW-TMLE",0.60472202662214,0.366632851890587,0.842811201353692
1000,51,"IPCW-TMLE-target-Pi-true-Pi",0.606133108871947,0.366902352738907,0.845363865004987
1000,51,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.608044609885705,0.357904308651708,0.858184911119703
1000,52,"IPCW-TMLE",0.424145437383687,0.211924798636024,0.636366076131351
1000,52,"IPCW-TMLE-target-Pi-true-Pi",0.427666081917806,0.210584208999625,0.644747954835988
1000,52,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.425253440051383,0.211134835525316,0.639372044577449
1000,53,"IPCW-TMLE",0.348292577315922,0.144343443858048,0.552241710773796
1000,53,"IPCW-TMLE-target-Pi-true-Pi",0.34757376181252,0.144824552043501,0.550322971581539
1000,53,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.349320569131043,0.147247146197865,0.551393992064221
1000,54,"IPCW-TMLE",0.463914920607066,0.218758700017483,0.70907114119665
1000,54,"IPCW-TMLE-target-Pi-true-Pi",0.45965649660695,0.217254871355318,0.702058121858582
1000,54,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.46186830941683,0.220860435597311,0.702876183236348
1000,55,"IPCW-TMLE",0.628274862786747,0.422755210434236,0.833794515139258
1000,55,"IPCW-TMLE-target-Pi-true-Pi",0.645814913195617,0.435409784559534,0.8562200418317
1000,55,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.648492465511397,0.428790574136224,0.86819435688657
1000,56,"IPCW-TMLE",0.357803032371832,0.116914662141883,0.598691402601782
1000,56,"IPCW-TMLE-target-Pi-true-Pi",0.367814649218943,0.121259713994583,0.614369584443303
1000,56,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.365556553457077,0.120635931919196,0.610477174994957
1000,57,"IPCW-TMLE",0.480626947914598,0.277010235878779,0.684243659950417
1000,57,"IPCW-TMLE-target-Pi-true-Pi",0.480986105466744,0.278730369605361,0.683241841328127
1000,57,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.479879196897745,0.259856040846453,0.699902352949038
1000,58,"IPCW-TMLE",0.400063202443137,0.1990611796827,0.601065225203573
1000,58,"IPCW-TMLE-target-Pi-true-Pi",0.382169115439162,0.192658613336549,0.571679617541776
1000,58,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.384031933453065,0.193810262650898,0.574253604255232
1000,59,"IPCW-TMLE",0.25532114026743,-0.00242685838351248,0.513069138918373
1000,59,"IPCW-TMLE-target-Pi-true-Pi",0.257469704958249,-0.00181186289019758,0.516751272806695
1000,59,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.25774035802687,0.00153316869332482,0.513947547360414
1000,60,"IPCW-TMLE",0.435795109167447,0.21290507141583,0.658685146919063
1000,60,"IPCW-TMLE-target-Pi-true-Pi",0.431463820172578,0.211778219019359,0.651149421325797
1000,60,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.433094642267598,0.217684855641454,0.648504428893742
1000,61,"IPCW-TMLE",0.411510888916678,0.217921448623268,0.605100329210087
1000,61,"IPCW-TMLE-target-Pi-true-Pi",0.416034162012987,0.22063451313523,0.611433810890745
1000,61,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.413897358964593,0.217762745299017,0.61003197263017
1000,62,"IPCW-TMLE",0.298564257204458,0.0732559857187328,0.523872528690183
1000,62,"IPCW-TMLE-target-Pi-true-Pi",0.287275173940726,0.0710140894471318,0.50353625843432
1000,62,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.285773552966417,0.0515052961932279,0.520041809739606
1000,63,"IPCW-TMLE",0.277355197898161,0.041499396684402,0.513210999111921
1000,63,"IPCW-TMLE-target-Pi-true-Pi",0.285137873799768,0.0433504425434124,0.526925305056124
1000,63,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.286532923342059,0.0265109171561151,0.546554929528004
1000,64,"IPCW-TMLE",0.403161204162132,0.209877595640408,0.596444812683855
1000,64,"IPCW-TMLE-target-Pi-true-Pi",0.396641987096961,0.207630742644059,0.585653231549864
1000,64,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.394814294462313,0.205634816565578,0.583993772359047
1000,65,"IPCW-TMLE",0.500201724466583,0.306045240424604,0.694358208508562
1000,65,"IPCW-TMLE-target-Pi-true-Pi",0.486847452123681,0.300070674716581,0.673624229530781
1000,65,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.48893656090295,0.313352976334199,0.664520145471701
1000,66,"IPCW-TMLE",0.261421371062761,0.054163033544444,0.468679708581078
1000,66,"IPCW-TMLE-target-Pi-true-Pi",0.260584975849234,0.0547528121173758,0.466417139581092
1000,66,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.261567129883133,0.0519953878971556,0.47113887186911
1000,67,"IPCW-TMLE",0.269869632335326,0.0423185450155119,0.497420719655141
1000,67,"IPCW-TMLE-target-Pi-true-Pi",0.262663246717597,0.0430207701145545,0.48230572332064
1000,67,"IPCW-TMLE-target-Pi-true-Pi-DFullReg",0.263891707981494,0.0446081325788987,0.48317528338409
1000,68,"IPCW-TMLE",0.452865909398289,0.235784654697601,0.669947164098977
