"n","b","est_name","psi","lower","upper"
500,1,"IPCW-TMLE",0.584572667188243,0.237091342148611,0.932053992227875
500,1,"IPCW-TMLE-target-Pi-1",0.58512339200248,0.241749031617409,0.928497752387552
500,1,"IPCW-TMLE-target-Pi-relearn-1",0.565384543902755,0.216802065787036,0.913967022018474
500,1,"IPCW-TMLE-target-Pi-2",0.583844432928077,0.241087960131366,0.926600905724788
500,1,"IPCW-TMLE-target-Pi-relearn-2",0.584572667188243,0.237091342148611,0.932053992227875
500,1,"IPCW-TMLE-target-Pi-3",0.58512339200248,0.241749031617409,0.928497752387552
500,1,"IPCW-TMLE-target-Pi-relearn-3",0.565384543902755,0.216802065787036,0.913967022018474
500,1,"IPCW-TMLE-target-Pi-4",0.583844432928077,0.241087960131366,0.926600905724788
500,1,"IPCW-TMLE-target-Pi-relearn-4",0.584572667188243,0.237091342148611,0.932053992227875
500,1,"IPCW-TMLE-target-Pi-5",0.58512339200248,0.241749031617409,0.928497752387552
500,1,"IPCW-TMLE-target-Pi-relearn-5",0.565384543902755,0.216802065787036,0.913967022018474
500,1,"IPCW-TMLE-imputation",0.583844432928077,0.241087960131366,0.926600905724788
500,2,"IPCW-TMLE",0.401511404467876,0.0852472664442781,0.717775542491474
500,2,"IPCW-TMLE-target-Pi-1",0.402268872108148,0.0891772328419458,0.715360511374351
500,2,"IPCW-TMLE-target-Pi-relearn-1",0.397687092137908,0.0783489822742208,0.717025202001596
500,2,"IPCW-TMLE-target-Pi-2",0.410635398068542,0.0983237431544378,0.722947052982647
500,2,"IPCW-TMLE-target-Pi-relearn-2",0.401511404467876,0.0852472664442781,0.717775542491474
500,2,"IPCW-TMLE-target-Pi-3",0.402268872108148,0.0891772328419458,0.715360511374351
500,2,"IPCW-TMLE-target-Pi-relearn-3",0.397687092137908,0.0783489822742208,0.717025202001596
500,2,"IPCW-TMLE-target-Pi-4",0.410635398068542,0.0983237431544378,0.722947052982647
500,2,"IPCW-TMLE-target-Pi-relearn-4",0.401511404467876,0.0852472664442781,0.717775542491474
500,2,"IPCW-TMLE-target-Pi-5",0.402268872108148,0.0891772328419458,0.715360511374351
500,2,"IPCW-TMLE-target-Pi-relearn-5",0.397687092137908,0.0783489822742208,0.717025202001596
500,2,"IPCW-TMLE-imputation",0.410635398068542,0.0983237431544378,0.722947052982647
500,3,"IPCW-TMLE",0.613755587318505,0.357721659744073,0.869789514892938
500,3,"IPCW-TMLE-target-Pi-1",0.616992227579274,0.359801538546406,0.874182916612141
500,3,"IPCW-TMLE-target-Pi-relearn-1",0.603866108030476,0.345758176567247,0.861974039493706
500,3,"IPCW-TMLE-target-Pi-2",0.615142232275995,0.359040533800869,0.87124393075112
500,3,"IPCW-TMLE-target-Pi-relearn-2",0.613755587318505,0.357721659744073,0.869789514892938
500,3,"IPCW-TMLE-target-Pi-3",0.616992227579274,0.359801538546406,0.874182916612141
500,3,"IPCW-TMLE-target-Pi-relearn-3",0.603866108030476,0.345758176567247,0.861974039493706
500,3,"IPCW-TMLE-target-Pi-4",0.615142232275995,0.359040533800869,0.87124393075112
500,3,"IPCW-TMLE-target-Pi-relearn-4",0.613755587318505,0.357721659744073,0.869789514892938
500,3,"IPCW-TMLE-target-Pi-5",0.616992227579274,0.359801538546406,0.874182916612141
500,3,"IPCW-TMLE-target-Pi-relearn-5",0.603866108030476,0.345758176567247,0.861974039493706
500,3,"IPCW-TMLE-imputation",0.615142232275995,0.359040533800869,0.87124393075112
500,4,"IPCW-TMLE",0.477055810171147,0.171524982852279,0.782586637490015
500,4,"IPCW-TMLE-target-Pi-1",0.474509889981016,0.171526873673497,0.777492906288535
500,4,"IPCW-TMLE-target-Pi-relearn-1",0.460415695913043,0.163145055416835,0.757686336409251
500,4,"IPCW-TMLE-target-Pi-2",0.478708765970695,0.17378327795649,0.783634253984901
500,4,"IPCW-TMLE-target-Pi-relearn-2",0.477055810171147,0.171524982852279,0.782586637490015
500,4,"IPCW-TMLE-target-Pi-3",0.474509889981016,0.171526873673497,0.777492906288535
500,4,"IPCW-TMLE-target-Pi-relearn-3",0.460415695913043,0.163145055416835,0.757686336409251
500,4,"IPCW-TMLE-target-Pi-4",0.478708765970695,0.17378327795649,0.783634253984901
500,4,"IPCW-TMLE-target-Pi-relearn-4",0.477055810171147,0.171524982852279,0.782586637490015
500,4,"IPCW-TMLE-target-Pi-5",0.474509889981016,0.171526873673497,0.777492906288535
500,4,"IPCW-TMLE-target-Pi-relearn-5",0.460415695913043,0.163145055416835,0.757686336409251
500,4,"IPCW-TMLE-imputation",0.478708765970695,0.17378327795649,0.783634253984901
500,5,"IPCW-TMLE",0.637476837733893,0.281785755420435,0.99316792004735
500,5,"IPCW-TMLE-target-Pi-1",0.640339552613558,0.286874662238264,0.993804442988852
500,5,"IPCW-TMLE-target-Pi-relearn-1",0.633882951800719,0.274943820419332,0.992822083182107
500,5,"IPCW-TMLE-target-Pi-2",0.646534121735164,0.293720519769929,0.999347723700399
500,5,"IPCW-TMLE-target-Pi-relearn-2",0.637476837733893,0.281785755420435,0.99316792004735
500,5,"IPCW-TMLE-target-Pi-3",0.640339552613558,0.286874662238264,0.993804442988852
500,5,"IPCW-TMLE-target-Pi-relearn-3",0.633882951800719,0.274943820419332,0.992822083182107
500,5,"IPCW-TMLE-target-Pi-4",0.646534121735164,0.293720519769929,0.999347723700399
500,5,"IPCW-TMLE-target-Pi-relearn-4",0.637476837733893,0.281785755420435,0.99316792004735
500,5,"IPCW-TMLE-target-Pi-5",0.640339552613558,0.286874662238264,0.993804442988852
500,5,"IPCW-TMLE-target-Pi-relearn-5",0.633882951800719,0.274943820419332,0.992822083182107
500,5,"IPCW-TMLE-imputation",0.646534121735164,0.293720519769929,0.999347723700399
500,6,"IPCW-TMLE",0.658685549107071,0.3354419441894,0.981929154024743
500,6,"IPCW-TMLE-target-Pi-1",0.662938333536874,0.338127406466669,0.98774926060708
500,6,"IPCW-TMLE-target-Pi-relearn-1",0.663404253866183,0.329676785099855,0.997131722632512
500,6,"IPCW-TMLE-target-Pi-2",0.672903965773603,0.351177121564722,0.994630809982485
500,6,"IPCW-TMLE-target-Pi-relearn-2",0.658685549107071,0.3354419441894,0.981929154024743
500,6,"IPCW-TMLE-target-Pi-3",0.662938333536874,0.338127406466669,0.98774926060708
500,6,"IPCW-TMLE-target-Pi-relearn-3",0.663404253866183,0.329676785099855,0.997131722632512
500,6,"IPCW-TMLE-target-Pi-4",0.672903965773603,0.351177121564722,0.994630809982485
500,6,"IPCW-TMLE-target-Pi-relearn-4",0.658685549107071,0.3354419441894,0.981929154024743
500,6,"IPCW-TMLE-target-Pi-5",0.662938333536874,0.338127406466669,0.98774926060708
500,6,"IPCW-TMLE-target-Pi-relearn-5",0.663404253866183,0.329676785099855,0.997131722632512
500,6,"IPCW-TMLE-imputation",0.672903965773603,0.351177121564722,0.994630809982485
500,7,"IPCW-TMLE",0.416646228718155,0.141940644408817,0.691351813027494
500,7,"IPCW-TMLE-target-Pi-1",0.418677983497381,0.143788445382567,0.693567521612194
500,7,"IPCW-TMLE-target-Pi-relearn-1",0.421139036154452,0.145615626717246,0.696662445591658
500,7,"IPCW-TMLE-target-Pi-2",0.421673157202526,0.148276947276014,0.695069367129038
500,7,"IPCW-TMLE-target-Pi-relearn-2",0.416646228718155,0.141940644408817,0.691351813027494
500,7,"IPCW-TMLE-target-Pi-3",0.418677983497381,0.143788445382567,0.693567521612194
500,7,"IPCW-TMLE-target-Pi-relearn-3",0.421139036154452,0.145615626717246,0.696662445591658
500,7,"IPCW-TMLE-target-Pi-4",0.421673157202526,0.148276947276014,0.695069367129038
500,7,"IPCW-TMLE-target-Pi-relearn-4",0.416646228718155,0.141940644408817,0.691351813027494
500,7,"IPCW-TMLE-target-Pi-5",0.418677983497381,0.143788445382567,0.693567521612194
500,7,"IPCW-TMLE-target-Pi-relearn-5",0.421139036154452,0.145615626717246,0.696662445591658
500,7,"IPCW-TMLE-imputation",0.421673157202526,0.148276947276014,0.695069367129038
500,8,"IPCW-TMLE",0.529198203003584,0.215035611407588,0.84336079459958
500,8,"IPCW-TMLE-target-Pi-1",0.527989256393042,0.215085473150163,0.84089303963592
500,8,"IPCW-TMLE-target-Pi-relearn-1",0.494165505872057,0.181822335208649,0.806508676535464
500,8,"IPCW-TMLE-target-Pi-2",0.538881443032816,0.22503329563151,0.852729590434123
500,8,"IPCW-TMLE-target-Pi-relearn-2",0.529198203003584,0.215035611407588,0.84336079459958
500,8,"IPCW-TMLE-target-Pi-3",0.527989256393042,0.215085473150163,0.84089303963592
500,8,"IPCW-TMLE-target-Pi-relearn-3",0.494165505872057,0.181822335208649,0.806508676535464
500,8,"IPCW-TMLE-target-Pi-4",0.538881443032816,0.22503329563151,0.852729590434123
500,8,"IPCW-TMLE-target-Pi-relearn-4",0.529198203003584,0.215035611407588,0.84336079459958
500,8,"IPCW-TMLE-target-Pi-5",0.527989256393042,0.215085473150163,0.84089303963592
500,8,"IPCW-TMLE-target-Pi-relearn-5",0.494165505872057,0.181822335208649,0.806508676535464
500,8,"IPCW-TMLE-imputation",0.538881443032816,0.22503329563151,0.852729590434123
500,9,"IPCW-TMLE",0.770797113967548,0.49855207865244,1.04304214928266
500,9,"IPCW-TMLE-target-Pi-1",0.767856412373504,0.497284647344659,1.03842817740235
500,9,"IPCW-TMLE-target-Pi-relearn-1",0.778758979896697,0.508626030197044,1.04889192959635
500,9,"IPCW-TMLE-target-Pi-2",0.762549285146806,0.490350372933612,1.03474819736
500,9,"IPCW-TMLE-target-Pi-relearn-2",0.770797113967548,0.49855207865244,1.04304214928266
500,9,"IPCW-TMLE-target-Pi-3",0.767856412373504,0.497284647344659,1.03842817740235
500,9,"IPCW-TMLE-target-Pi-relearn-3",0.778758979896697,0.508626030197044,1.04889192959635
500,9,"IPCW-TMLE-target-Pi-4",0.762549285146806,0.490350372933612,1.03474819736
500,9,"IPCW-TMLE-target-Pi-relearn-4",0.770797113967548,0.49855207865244,1.04304214928266
500,9,"IPCW-TMLE-target-Pi-5",0.767856412373504,0.497284647344659,1.03842817740235
500,9,"IPCW-TMLE-target-Pi-relearn-5",0.778758979896697,0.508626030197044,1.04889192959635
500,9,"IPCW-TMLE-imputation",0.762549285146806,0.490350372933612,1.03474819736
500,10,"IPCW-TMLE",0.516274898558024,0.217697385317384,0.814852411798664
500,10,"IPCW-TMLE-target-Pi-1",0.514361226634005,0.219816177881866,0.808906275386143
500,10,"IPCW-TMLE-target-Pi-relearn-1",0.524426965227349,0.228879522013382,0.819974408441316
500,10,"IPCW-TMLE-target-Pi-2",0.518675933412533,0.222297578713253,0.815054288111813
500,10,"IPCW-TMLE-target-Pi-relearn-2",0.516274898558024,0.217697385317384,0.814852411798664
500,10,"IPCW-TMLE-target-Pi-3",0.514361226634005,0.219816177881866,0.808906275386143
500,10,"IPCW-TMLE-target-Pi-relearn-3",0.524426965227349,0.228879522013382,0.819974408441316
500,10,"IPCW-TMLE-target-Pi-4",0.518675933412533,0.222297578713253,0.815054288111813
500,10,"IPCW-TMLE-target-Pi-relearn-4",0.516274898558024,0.217697385317384,0.814852411798664
500,10,"IPCW-TMLE-target-Pi-5",0.514361226634005,0.219816177881866,0.808906275386143
500,10,"IPCW-TMLE-target-Pi-relearn-5",0.524426965227349,0.228879522013382,0.819974408441316
500,10,"IPCW-TMLE-imputation",0.518675933412533,0.222297578713253,0.815054288111813
1000,1,"IPCW-TMLE",0.441511652976498,0.174920839032369,0.708102466920626
1000,1,"IPCW-TMLE-target-Pi-1",0.442768248217444,0.178337166184441,0.707199330250447
1000,1,"IPCW-TMLE-target-Pi-relearn-1",0.459870202053553,0.200633071364423,0.719107332742683
1000,1,"IPCW-TMLE-target-Pi-2",0.443984717587416,0.179268697417373,0.708700737757459
1000,1,"IPCW-TMLE-target-Pi-relearn-2",0.441511652976498,0.174920839032369,0.708102466920626
1000,1,"IPCW-TMLE-target-Pi-3",0.442768248217444,0.178337166184441,0.707199330250447
1000,1,"IPCW-TMLE-target-Pi-relearn-3",0.459870202053553,0.200633071364423,0.719107332742683
1000,1,"IPCW-TMLE-target-Pi-4",0.443984717587416,0.179268697417373,0.708700737757459
1000,1,"IPCW-TMLE-target-Pi-relearn-4",0.441511652976498,0.174920839032369,0.708102466920626
1000,1,"IPCW-TMLE-target-Pi-5",0.442768248217444,0.178337166184441,0.707199330250447
1000,1,"IPCW-TMLE-target-Pi-relearn-5",0.459870202053553,0.200633071364423,0.719107332742683
1000,1,"IPCW-TMLE-imputation",0.443984717587416,0.179268697417373,0.708700737757459
1000,2,"IPCW-TMLE",0.484874549910439,0.246461345317443,0.723287754503436
1000,2,"IPCW-TMLE-target-Pi-1",0.482053796581618,0.246477247916834,0.717630345246403
1000,2,"IPCW-TMLE-target-Pi-relearn-1",0.484927759094081,0.248439530261086,0.721415987927075
1000,2,"IPCW-TMLE-target-Pi-2",0.485324852676395,0.247852646122915,0.722797059229875
1000,2,"IPCW-TMLE-target-Pi-relearn-2",0.484874549910439,0.246461345317443,0.723287754503436
1000,2,"IPCW-TMLE-target-Pi-3",0.482053796581618,0.246477247916834,0.717630345246403
1000,2,"IPCW-TMLE-target-Pi-relearn-3",0.484927759094081,0.248439530261086,0.721415987927075
1000,2,"IPCW-TMLE-target-Pi-4",0.485324852676395,0.247852646122915,0.722797059229875
1000,2,"IPCW-TMLE-target-Pi-relearn-4",0.484874549910439,0.246461345317443,0.723287754503436
1000,2,"IPCW-TMLE-target-Pi-5",0.482053796581618,0.246477247916834,0.717630345246403
1000,2,"IPCW-TMLE-target-Pi-relearn-5",0.484927759094081,0.248439530261086,0.721415987927075
1000,2,"IPCW-TMLE-imputation",0.485324852676395,0.247852646122915,0.722797059229875
1000,3,"IPCW-TMLE",0.171765943864384,-0.05178945893492,0.395321346663689
1000,3,"IPCW-TMLE-target-Pi-1",0.172117509042637,-0.0518632436731249,0.396098261758399
1000,3,"IPCW-TMLE-target-Pi-relearn-1",0.17685128372625,-0.0488657920677097,0.402568359520209
1000,3,"IPCW-TMLE-target-Pi-2",0.174862206421151,-0.0485297206449649,0.398254133487267
1000,3,"IPCW-TMLE-target-Pi-relearn-2",0.171765943864384,-0.05178945893492,0.395321346663689
1000,3,"IPCW-TMLE-target-Pi-3",0.172117509042637,-0.0518632436731249,0.396098261758399
1000,3,"IPCW-TMLE-target-Pi-relearn-3",0.17685128372625,-0.0488657920677097,0.402568359520209
1000,3,"IPCW-TMLE-target-Pi-4",0.174862206421151,-0.0485297206449649,0.398254133487267
1000,3,"IPCW-TMLE-target-Pi-relearn-4",0.171765943864384,-0.05178945893492,0.395321346663689
1000,3,"IPCW-TMLE-target-Pi-5",0.172117509042637,-0.0518632436731249,0.396098261758399
1000,3,"IPCW-TMLE-target-Pi-relearn-5",0.17685128372625,-0.0488657920677097,0.402568359520209
1000,3,"IPCW-TMLE-imputation",0.174862206421151,-0.0485297206449649,0.398254133487267
1000,4,"IPCW-TMLE",0.322653962502938,0.119715463825934,0.525592461179943
1000,4,"IPCW-TMLE-target-Pi-1",0.323188328860941,0.120804507076209,0.525572150645673
1000,4,"IPCW-TMLE-target-Pi-relearn-1",0.324521512567992,0.122716428771178,0.526326596364807
1000,4,"IPCW-TMLE-target-Pi-2",0.323473479297501,0.122351001757957,0.524595956837044
1000,4,"IPCW-TMLE-target-Pi-relearn-2",0.322653962502938,0.119715463825934,0.525592461179943
1000,4,"IPCW-TMLE-target-Pi-3",0.323188328860941,0.120804507076209,0.525572150645673
1000,4,"IPCW-TMLE-target-Pi-relearn-3",0.324521512567992,0.122716428771178,0.526326596364807
1000,4,"IPCW-TMLE-target-Pi-4",0.323473479297501,0.122351001757957,0.524595956837044
1000,4,"IPCW-TMLE-target-Pi-relearn-4",0.322653962502938,0.119715463825934,0.525592461179943
1000,4,"IPCW-TMLE-target-Pi-5",0.323188328860941,0.120804507076209,0.525572150645673
1000,4,"IPCW-TMLE-target-Pi-relearn-5",0.324521512567992,0.122716428771178,0.526326596364807
1000,4,"IPCW-TMLE-imputation",0.323473479297501,0.122351001757957,0.524595956837044
1000,5,"IPCW-TMLE",0.597868840707664,0.381436815492763,0.814300865922565
1000,5,"IPCW-TMLE-target-Pi-1",0.595204819967037,0.381697526138093,0.80871211379598
1000,5,"IPCW-TMLE-target-Pi-relearn-1",0.593245743070113,0.378387553729588,0.808103932410638
1000,5,"IPCW-TMLE-target-Pi-2",0.592008461585984,0.377538407366809,0.806478515805158
1000,5,"IPCW-TMLE-target-Pi-relearn-2",0.597868840707664,0.381436815492763,0.814300865922565
1000,5,"IPCW-TMLE-target-Pi-3",0.595204819967037,0.381697526138093,0.80871211379598
1000,5,"IPCW-TMLE-target-Pi-relearn-3",0.593245743070113,0.378387553729588,0.808103932410638
1000,5,"IPCW-TMLE-target-Pi-4",0.592008461585984,0.377538407366809,0.806478515805158
1000,5,"IPCW-TMLE-target-Pi-relearn-4",0.597868840707664,0.381436815492763,0.814300865922565
1000,5,"IPCW-TMLE-target-Pi-5",0.595204819967037,0.381697526138093,0.80871211379598
