"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.517862914243397,0.287792270541902,0.747933557944891
1000,1,"IPCW-TMLE-target-Pi",0.51737693649365,0.288904365526256,0.745849507461044
1000,1,"IPCW-TMLE-imputation",0.516754484526804,0.288281514006922,0.745227455046686
1000,2,"IPCW-TMLE",0.375534238359609,0.151803545581695,0.599264931137524
1000,2,"IPCW-TMLE-target-Pi",0.373566790139308,0.148997196830347,0.598136383448269
1000,2,"IPCW-TMLE-imputation",0.377356547944946,0.15278803577747,0.601925060112422
1000,3,"IPCW-TMLE",0.365185190724032,0.166898143701288,0.563472237746776
1000,3,"IPCW-TMLE-target-Pi",0.363895031404076,0.167743099343932,0.56004696346422
1000,3,"IPCW-TMLE-imputation",0.36333314908569,0.167181517825672,0.559484780345708
1000,4,"IPCW-TMLE",0.314289659563397,0.138014969203987,0.490564349922807
1000,4,"IPCW-TMLE-target-Pi",0.3147756379227,0.138349299619472,0.491201976225928
1000,4,"IPCW-TMLE-imputation",0.317407883345469,0.140979883841671,0.493835882849267
1000,5,"IPCW-TMLE",0.75429703624018,0.538516433892619,0.970077638587741
1000,5,"IPCW-TMLE-target-Pi",0.749834020135873,0.535612078389133,0.964055961882612
1000,5,"IPCW-TMLE-imputation",0.757293926590048,0.543068976670835,0.971518876509261
1000,6,"IPCW-TMLE",0.574917601737165,0.301410317802154,0.848424885672175
1000,6,"IPCW-TMLE-target-Pi",0.572228905721093,0.303387901720584,0.841069909721601
1000,6,"IPCW-TMLE-imputation",0.563887246966586,0.295045435380247,0.832729058552926
1000,7,"IPCW-TMLE",0.358116839898842,0.083792409092965,0.632441270704719
1000,7,"IPCW-TMLE-target-Pi",0.35881627435694,0.0841272948816288,0.633505253832251
1000,7,"IPCW-TMLE-imputation",0.357579441147728,0.0828899440433313,0.632268938252124
1000,8,"IPCW-TMLE",0.635860723245071,0.383443125913303,0.888278320576839
1000,8,"IPCW-TMLE-target-Pi",0.632864034769006,0.383809766128861,0.88191830340915
1000,8,"IPCW-TMLE-imputation",0.633947822992693,0.384894011004918,0.883001634980469
1000,9,"IPCW-TMLE",0.319107583092679,0.0847927641470065,0.553422402038352
1000,9,"IPCW-TMLE-target-Pi",0.321960217504678,0.085910506692179,0.558009928317176
1000,9,"IPCW-TMLE-imputation",0.317343045508525,0.0812917636467728,0.553394327370277
1000,10,"IPCW-TMLE",0.390023548286559,0.178755130567344,0.601291966005774
1000,10,"IPCW-TMLE-target-Pi",0.390756960586812,0.179770822955107,0.601743098218516
