"n","b","est_name","psi","lower","upper"
2000,1,"IPCW-TMLE",0.153445716086906,0.064445138854732,0.24244629331908
2000,1,"IPCW-TMLE-target-Pi",0.122467516653178,0.0303366163187938,0.214598416987563
2000,1,"IPCW-TMLE-target-Pi-DFullReg",0.120465885988126,0.0800686636515294,0.160863108324723
2000,2,"IPCW-TMLE",0.187091975330108,0.102224396459952,0.271959554200264
2000,2,"IPCW-TMLE-target-Pi",0.15930608027775,0.0723669738395507,0.246245186715949
2000,2,"IPCW-TMLE-target-Pi-DFullReg",0.157490823742751,0.116899463809842,0.19808218367566
2000,3,"IPCW-TMLE",0.117230783761288,0.0359867579933004,0.198474809529276
2000,3,"IPCW-TMLE-target-Pi",0.118844487596729,0.0372011780998064,0.200487797093651
2000,3,"IPCW-TMLE-target-Pi-DFullReg",0.118940646210871,0.0819953291371638,0.155885963284578
2000,4,"IPCW-TMLE",0.129391940203292,0.051616448980021,0.207167431426564
2000,4,"IPCW-TMLE-target-Pi",0.110619878508505,0.0344137240099778,0.186826033007032
2000,4,"IPCW-TMLE-target-Pi-DFullReg",0.110131009269553,0.0754281410231788,0.144833877515928
2000,5,"IPCW-TMLE",0.0992946061572267,0.00734814926666467,0.191241063047789
2000,5,"IPCW-TMLE-target-Pi",0.0911017369580379,0.000113114200257752,0.182090359715818
2000,5,"IPCW-TMLE-target-Pi-DFullReg",0.0907705688821633,0.0498433758937859,0.131697761870541
2000,6,"IPCW-TMLE",0.15935170200148,0.0704503547800714,0.248253049222889
2000,6,"IPCW-TMLE-target-Pi",0.161809001068395,0.0728010597422832,0.250816942394507
2000,6,"IPCW-TMLE-target-Pi-DFullReg",0.161945507411702,0.123020595464284,0.200870419359119
2000,7,"IPCW-TMLE",0.183899631334102,0.105799765275574,0.261999497392629
2000,7,"IPCW-TMLE-target-Pi",0.160672107236004,0.0841730886084748,0.237171125863534
2000,7,"IPCW-TMLE-target-Pi-DFullReg",0.159191517515366,0.122115898051342,0.196267136979389
2000,8,"IPCW-TMLE",0.153465075627254,0.0644027966856933,0.242527354568815
2000,8,"IPCW-TMLE-target-Pi",0.163921722076971,0.0741449842052061,0.253698459948736
2000,8,"IPCW-TMLE-target-Pi-DFullReg",0.164624872670836,0.123771887924614,0.205477857417059
2000,9,"IPCW-TMLE",0.153152060635101,0.0724100243690562,0.233894096901146
2000,9,"IPCW-TMLE-target-Pi",0.128436130359908,0.0478273920960951,0.209044868623721
2000,9,"IPCW-TMLE-target-Pi-DFullReg",0.127611975330931,0.0912866423804557,0.163937308281406
2000,10,"IPCW-TMLE",0.167654700770517,0.0826748102498596,0.252634591291175
2000,10,"IPCW-TMLE-target-Pi",0.139208477587462,0.0578134448804403,0.220603510294483
2000,10,"IPCW-TMLE-target-Pi-DFullReg",0.13781369754496,0.100289803466721,0.1753375916232
2000,11,"IPCW-TMLE",0.140144277698448,0.0635932310929408,0.216695324303954
2000,11,"IPCW-TMLE-target-Pi",0.119140082200365,0.042906699042021,0.195373465358708
2000,11,"IPCW-TMLE-target-Pi-DFullReg",0.117770998139676,0.082557358041565,0.152984638237787
2000,12,"IPCW-TMLE",0.141190691421249,0.0468813688934355,0.235500013949063
2000,12,"IPCW-TMLE-target-Pi",0.132804486905691,0.0390687379928404,0.226540235818542
2000,12,"IPCW-TMLE-target-Pi-DFullReg",0.132592922423799,0.095110432489258,0.17007541235834
2000,13,"IPCW-TMLE",0.161323104769636,0.0749795762098771,0.247666633329395
2000,13,"IPCW-TMLE-target-Pi",0.140482831012669,0.0538237350156891,0.22714192700965
2000,13,"IPCW-TMLE-target-Pi-DFullReg",0.139909271992214,0.102576059435523,0.177242484548905
2000,14,"IPCW-TMLE",0.178670924646517,0.100809559662538,0.256532289630496
2000,14,"IPCW-TMLE-target-Pi",0.156013136284642,0.0785443068264496,0.233481965742835
2000,14,"IPCW-TMLE-target-Pi-DFullReg",0.155153218568739,0.120208917520283,0.190097519617195
2000,15,"IPCW-TMLE",0.0684951858180446,-0.00909430967759096,0.14608468131368
2000,15,"IPCW-TMLE-target-Pi",0.0808669765082284,0.000419416341094839,0.161314536675362
2000,15,"IPCW-TMLE-target-Pi-DFullReg",0.0813775445588727,0.0438903410732647,0.118864748044481
2000,16,"IPCW-TMLE",0.161227532468554,0.0854754956803212,0.236979569256786
2000,16,"IPCW-TMLE-target-Pi",0.137224263144823,0.0601587970836496,0.214289729205997
2000,16,"IPCW-TMLE-target-Pi-DFullReg",0.13606294281933,0.0990388671837835,0.173087018454877
2000,17,"IPCW-TMLE",0.12239181942557,0.0404304697597316,0.204353169091408
2000,17,"IPCW-TMLE-target-Pi",0.0951111558845223,0.0128172472073494,0.177405064561695
2000,17,"IPCW-TMLE-target-Pi-DFullReg",0.0939281301199993,0.0577886749738455,0.130067585266153
2000,18,"IPCW-TMLE",0.121856341787443,0.0405617557335126,0.203150927841373
2000,18,"IPCW-TMLE-target-Pi",0.109565890254298,0.0276043692533198,0.191527411255276
2000,18,"IPCW-TMLE-target-Pi-DFullReg",0.109140881202071,0.0723675256400033,0.145914236764139
2000,19,"IPCW-TMLE",0.208877029234,0.122376693382517,0.295377365085483
2000,19,"IPCW-TMLE-target-Pi",0.178939302249289,0.0925198676672576,0.26535873683132
2000,19,"IPCW-TMLE-target-Pi-DFullReg",0.177690590131252,0.140581682215378,0.214799498047126
2000,20,"IPCW-TMLE",0.120493881604528,0.0397616784215782,0.201226084787477
2000,20,"IPCW-TMLE-target-Pi",0.136927834549568,0.0531645519357689,0.220691117163368
2000,20,"IPCW-TMLE-target-Pi-DFullReg",0.138143353099406,0.0976761027121344,0.178610603486677
2000,21,"IPCW-TMLE",0.142491670296781,0.0638094887177652,0.221173851875797
2000,21,"IPCW-TMLE-target-Pi",0.118536566705164,0.039579140353049,0.197493993057278
2000,21,"IPCW-TMLE-target-Pi-DFullReg",0.117618887696724,0.082333284994976,0.152904490398471
2000,22,"IPCW-TMLE",0.0825038291726888,0.00419097146221478,0.160816686883163
2000,22,"IPCW-TMLE-target-Pi",0.0906570661438703,0.0122410799583989,0.169073052329342
2000,22,"IPCW-TMLE-target-Pi-DFullReg",0.090997391495059,0.05521511858689,0.126779664403228
2000,23,"IPCW-TMLE",0.125534048745498,0.0488520310352028,0.202216066455793
2000,23,"IPCW-TMLE-target-Pi",0.102417220092783,0.0266783126293625,0.178156127556204
2000,23,"IPCW-TMLE-target-Pi-DFullReg",0.101412662615748,0.066051253904275,0.136774071327221
2000,24,"IPCW-TMLE",0.143082332236396,0.0600313656544189,0.226133298818373
2000,24,"IPCW-TMLE-target-Pi",0.117660162275518,0.0347706645917405,0.200549659959296
2000,24,"IPCW-TMLE-target-Pi-DFullReg",0.116453146933898,0.0800863033661125,0.152819990501684
2000,25,"IPCW-TMLE",0.231899583496719,0.150726612727233,0.313072554266206
2000,25,"IPCW-TMLE-target-Pi",0.204855836842761,0.124113293107215,0.285598380578308
2000,25,"IPCW-TMLE-target-Pi-DFullReg",0.203970356424637,0.168987944969234,0.23895276788004
2000,26,"IPCW-TMLE",0.12324945941806,0.0500090056241604,0.19648991321196
2000,26,"IPCW-TMLE-target-Pi",0.103096435416156,0.0297102744452328,0.176482596387079
2000,26,"IPCW-TMLE-target-Pi-DFullReg",0.101958217477674,0.067370802436722,0.136545632518626
2000,27,"IPCW-TMLE",0.128705960799737,0.0432310880763298,0.214180833523144
2000,27,"IPCW-TMLE-target-Pi",0.123100367725584,0.0378349871266006,0.208365748324566
2000,27,"IPCW-TMLE-target-Pi-DFullReg",0.123000526378531,0.0869345226578101,0.159066530099252
2000,28,"IPCW-TMLE",0.0758093881158205,-0.00058549584002289,0.152204272071664
2000,28,"IPCW-TMLE-target-Pi",0.096984602450974,0.0190127639798212,0.174956440922127
2000,28,"IPCW-TMLE-target-Pi-DFullReg",0.0979807834820927,0.0607962163700091,0.135165350594176
2000,29,"IPCW-TMLE",0.0518386608164363,-0.0443787819780512,0.148056103610924
2000,29,"IPCW-TMLE-target-Pi",0.0888927396673405,-0.0104954622458516,0.188280941580533
2000,29,"IPCW-TMLE-target-Pi-DFullReg",0.0909916367720768,0.0500398465972383,0.131943426946915
2000,30,"IPCW-TMLE",0.0909724001974959,0.00145994868541284,0.180484851709579
2000,30,"IPCW-TMLE-target-Pi",0.113969378223226,0.0245239820736875,0.203414774372764
2000,30,"IPCW-TMLE-target-Pi-DFullReg",0.115141552561369,0.0779162691555788,0.152366835967159
2000,31,"IPCW-TMLE",0.172826696142199,0.0931774361141364,0.252475956170261
2000,31,"IPCW-TMLE-target-Pi",0.145650090051327,0.0659064688009224,0.225393711301732
2000,31,"IPCW-TMLE-target-Pi-DFullReg",0.144235558206759,0.107282450769375,0.181188665644143
2000,32,"IPCW-TMLE",0.0866547015244438,-4.72936681080866e-05,0.173356696716996
2000,32,"IPCW-TMLE-target-Pi",0.0829408917002684,-0.00318890979402385,0.169070693194561
2000,32,"IPCW-TMLE-target-Pi-DFullReg",0.0828367128338708,0.0472396115993381,0.118433814068403
2000,33,"IPCW-TMLE",0.0922735970725312,0.0167876519920022,0.16775954215306
2000,33,"IPCW-TMLE-target-Pi",0.0700669398263383,-0.00478796478960125,0.144921844442278
2000,33,"IPCW-TMLE-target-Pi-DFullReg",0.069170761222287,0.0358457754810536,0.10249574696352
2000,34,"IPCW-TMLE",0.192332308812234,0.113706520546562,0.270958097077907
2000,34,"IPCW-TMLE-target-Pi",0.165906635353177,0.0862697949422642,0.245543475764091
2000,34,"IPCW-TMLE-target-Pi-DFullReg",0.16456979677696,0.127726369454827,0.201413224099094
2000,35,"IPCW-TMLE",0.166975259801486,0.0915148661900556,0.242435653412916
2000,35,"IPCW-TMLE-target-Pi",0.146565234358972,0.0727617015175,0.220368767200443
2000,35,"IPCW-TMLE-target-Pi-DFullReg",0.14551116053938,0.111559036704771,0.179463284373989
2000,36,"IPCW-TMLE",0.0973287383555065,0.0130987550561793,0.181558721654834
2000,36,"IPCW-TMLE-target-Pi",0.0691950861380901,-0.0162788635294495,0.15466903580563
2000,36,"IPCW-TMLE-target-Pi-DFullReg",0.0670693026590269,0.0261610999139076,0.107977505404146
2000,37,"IPCW-TMLE",0.0488007084490248,-0.0259528862263968,0.123554303124446
2000,37,"IPCW-TMLE-target-Pi",0.0722782372926487,-0.0037276440055634,0.148284118590861
2000,37,"IPCW-TMLE-target-Pi-DFullReg",0.0736519939138173,0.0374817261470496,0.109822261680585
2000,38,"IPCW-TMLE",0.137990143234498,0.0581164852936522,0.217863801175343
2000,38,"IPCW-TMLE-target-Pi",0.114331862657176,0.0341120704254438,0.194551654888908
2000,38,"IPCW-TMLE-target-Pi-DFullReg",0.112941312790263,0.0757908913249489,0.150091734255578
2000,39,"IPCW-TMLE",0.194778145971735,0.108018876568487,0.281537415374982
2000,39,"IPCW-TMLE-target-Pi",0.165742008343176,0.0798785188564688,0.251605497829884
2000,39,"IPCW-TMLE-target-Pi-DFullReg",0.164924416486019,0.125996556031688,0.20385227694035
2000,40,"IPCW-TMLE",0.16452736746017,0.069502684091515,0.259552050828824
2000,40,"IPCW-TMLE-target-Pi",0.128292241375094,0.0374434010591768,0.219141081691012
2000,40,"IPCW-TMLE-target-Pi-DFullReg",0.126948753403356,0.0899802494075122,0.163917257399199
2000,41,"IPCW-TMLE",0.113549142109551,0.0355294267739256,0.191568857445176
2000,41,"IPCW-TMLE-target-Pi",0.124080178147577,0.0456415814042552,0.202518774890899
2000,41,"IPCW-TMLE-target-Pi-DFullReg",0.124646111970047,0.0873528323915365,0.161939391548558
2000,42,"IPCW-TMLE",0.111530640501149,0.0210943110336568,0.201966969968641
2000,42,"IPCW-TMLE-target-Pi",0.143369241949881,0.049825612192226,0.236912871707536
2000,42,"IPCW-TMLE-target-Pi-DFullReg",0.146006209484505,0.0978517331744865,0.194160685794523
2000,43,"IPCW-TMLE",0.097898667294652,0.00543410625071618,0.190363228338588
2000,43,"IPCW-TMLE-target-Pi",0.108980109111611,0.014274921928384,0.203685296294838
2000,43,"IPCW-TMLE-target-Pi-DFullReg",0.10940473140573,0.0617758782205306,0.157033584590929
2000,44,"IPCW-TMLE",0.196804038610916,0.118354849942658,0.275253227279173
2000,44,"IPCW-TMLE-target-Pi",0.171935381261792,0.094658222693514,0.249212539830071
2000,44,"IPCW-TMLE-target-Pi-DFullReg",0.170570127258192,0.134137014424439,0.207003240091945
