"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.517862914243397,0.287792270541902,0.747933557944891
1000,1,"IPCW-TMLE-target-Pi",0.488150839919156,0.260271625905163,0.716030053933149
1000,1,"IPCW-TMLE-target-Pi-DFullReg",0.387885993532202,0.221310522419027,0.554461464645376
1000,2,"IPCW-TMLE",0.387633646268032,0.165588037744877,0.609679254791188
1000,2,"IPCW-TMLE-target-Pi",0.431514555540797,0.210957746496052,0.652071364585543
1000,2,"IPCW-TMLE-target-Pi-DFullReg",0.483207431899468,0.327405033492933,0.639009830306003
1000,3,"IPCW-TMLE",0.242437628571055,0.00168871111014682,0.483186546031963
1000,3,"IPCW-TMLE-target-Pi",0.303705604470775,0.0640408679480994,0.543370340993451
1000,3,"IPCW-TMLE-target-Pi-DFullReg",0.343741048439519,0.181024592304054,0.506457504574985
1000,4,"IPCW-TMLE",0.488197299086679,0.296539932999333,0.679854665174024
1000,4,"IPCW-TMLE-target-Pi",0.46330085734767,0.271448311656036,0.655153403039304
1000,4,"IPCW-TMLE-target-Pi-DFullReg",0.437289830410392,0.289886659263765,0.584693001557019
1000,5,"IPCW-TMLE",0.580446527629399,0.340961872738939,0.81993118251986
1000,5,"IPCW-TMLE-target-Pi",0.585639608989333,0.345871211644091,0.825408006334575
1000,5,"IPCW-TMLE-target-Pi-DFullReg",0.575431569800429,0.414897403558034,0.735965736042823
1000,6,"IPCW-TMLE",0.374039524754277,0.142184496387925,0.605894553120629
1000,6,"IPCW-TMLE-target-Pi",0.412566064399054,0.183664252238701,0.641467876559406
1000,6,"IPCW-TMLE-target-Pi-DFullReg",0.466267000507169,0.306880085904875,0.625653915109462
1000,7,"IPCW-TMLE",0.45730373534928,0.261851663167692,0.652755807530867
1000,7,"IPCW-TMLE-target-Pi",0.451352827339982,0.255630685039138,0.647074969640825
1000,7,"IPCW-TMLE-target-Pi-DFullReg",0.478122343554341,0.331353258633227,0.624891428475456
1000,8,"IPCW-TMLE",0.374508092355363,0.177019672088289,0.571996512622436
1000,8,"IPCW-TMLE-target-Pi",0.414697760131913,0.218108933224726,0.6112865870391
1000,8,"IPCW-TMLE-target-Pi-DFullReg",0.42155615737329,0.272390835340633,0.570721479405947
1000,9,"IPCW-TMLE",0.23790195664668,0.0162542260122088,0.459549687281152
1000,9,"IPCW-TMLE-target-Pi",0.266199662637095,0.0480143304893904,0.4843849947848
1000,9,"IPCW-TMLE-target-Pi-DFullReg",0.265108547355465,0.108853834975241,0.421363259735689
1000,10,"IPCW-TMLE",0.468928680556933,0.276221339788331,0.661636021325534
1000,10,"IPCW-TMLE-target-Pi",0.524992723091074,0.330717379885162,0.719268066296985
1000,10,"IPCW-TMLE-target-Pi-DFullReg",0.591131414683379,0.441419184888808,0.74084364447795
1000,11,"IPCW-TMLE",0.430713102716124,0.219379159381383,0.642047046050864
1000,11,"IPCW-TMLE-target-Pi",0.384022791738575,0.179641788176053,0.588403795301097
1000,11,"IPCW-TMLE-target-Pi-DFullReg",0.362985540333467,0.213870895655746,0.512100185011189
1000,12,"IPCW-TMLE",0.316163598850255,0.114639164583753,0.517688033116756
1000,12,"IPCW-TMLE-target-Pi",0.360775657090378,0.15999031336185,0.561561000818906
1000,12,"IPCW-TMLE-target-Pi-DFullReg",0.424968859016523,0.278201848159908,0.571735869873138
1000,13,"IPCW-TMLE",0.521149106373808,0.330300473911115,0.711997738836501
1000,13,"IPCW-TMLE-target-Pi",0.482745390446358,0.291148491564971,0.674342289327745
1000,13,"IPCW-TMLE-target-Pi-DFullReg",0.407811320842751,0.258233989933902,0.557388651751601
1000,14,"IPCW-TMLE",0.516572136996055,0.308096352199663,0.725047921792448
1000,14,"IPCW-TMLE-target-Pi",0.501903780736735,0.291977047964512,0.711830513508957
1000,14,"IPCW-TMLE-target-Pi-DFullReg",0.46726987214158,0.310892785778794,0.623646958504367
1000,15,"IPCW-TMLE",0.272646028895541,0.054947102705424,0.490344955085659
1000,15,"IPCW-TMLE-target-Pi",0.332236885668334,0.115874934563924,0.548598836772744
1000,15,"IPCW-TMLE-target-Pi-DFullReg",0.411535218457897,0.248948373646909,0.574122063268884
1000,16,"IPCW-TMLE",0.493031831270528,0.262200207407281,0.723863455133776
1000,16,"IPCW-TMLE-target-Pi",0.410061215832219,0.161989224897252,0.658133206767185
1000,16,"IPCW-TMLE-target-Pi-DFullReg",0.297657105472423,0.114769186686346,0.4805450242585
1000,17,"IPCW-TMLE",0.454570256055626,0.244209545511675,0.664930966599577
1000,17,"IPCW-TMLE-target-Pi",0.404206586327504,0.190472923744606,0.617940248910403
1000,17,"IPCW-TMLE-target-Pi-DFullReg",0.339682707023369,0.181815331000302,0.497550083046435
1000,18,"IPCW-TMLE",0.31157708766745,0.111171526203702,0.511982649131197
1000,18,"IPCW-TMLE-target-Pi",0.362879652940659,0.160811349205665,0.564947956675654
1000,18,"IPCW-TMLE-target-Pi-DFullReg",0.455606930761513,0.304411220834346,0.606802640688681
1000,19,"IPCW-TMLE",0.349940573378511,0.14372702052078,0.556154126236242
1000,19,"IPCW-TMLE-target-Pi",0.337620222142057,0.13111534579109,0.544125098493024
1000,19,"IPCW-TMLE-target-Pi-DFullReg",0.38239184981704,0.226424682901323,0.538359016732757
1000,20,"IPCW-TMLE",0.390706221263066,0.200012593992615,0.581399848533516
1000,20,"IPCW-TMLE-target-Pi",0.387707203322489,0.197030864620549,0.578383542024428
1000,20,"IPCW-TMLE-target-Pi-DFullReg",0.382444452150479,0.238242427889557,0.526646476411401
