"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.110134680358376,0.0221413593313328,0.198128001385419
1000,1,"IPCW-TMLE-target-Pi-Q-init",0.109311760730129,0.0213128851805634,0.197310636279694
1000,1,"IPCW-TMLE-target-Pi-Q-star",0.109311766441062,0.0213128874519828,0.197310645430142
1000,2,"IPCW-TMLE",0.128017689337705,0.0500730687551709,0.205962309920238
1000,2,"IPCW-TMLE-target-Pi-Q-init",0.149150876404164,0.0662368860811944,0.232064866727133
1000,2,"IPCW-TMLE-target-Pi-Q-star",0.149150876404164,0.0662368860811943,0.232064866727133
1000,3,"IPCW-TMLE",0.154726817558444,0.0207251511522681,0.28872848396462
1000,3,"IPCW-TMLE-target-Pi-Q-init",0.172490384473391,0.0157665943460855,0.329214174600696
1000,3,"IPCW-TMLE-target-Pi-Q-star",0.172490384473391,0.0157665943460855,0.329214174600696
1000,4,"IPCW-TMLE",0.169923185622798,0.0694127052166454,0.270433666028951
1000,4,"IPCW-TMLE-target-Pi-Q-init",0.177887694298329,0.0742143427380186,0.28156104585864
1000,4,"IPCW-TMLE-target-Pi-Q-star",0.177887733233278,0.0742143815819276,0.281561084884629
1000,5,"IPCW-TMLE",0.0908045474883223,0.0280515373572333,0.153557557619411
1000,5,"IPCW-TMLE-target-Pi-Q-init",0.101317611404347,0.0370209267986069,0.165614296010088
1000,5,"IPCW-TMLE-target-Pi-Q-star",0.10131762883301,0.0370209543377293,0.165614303328291
1000,6,"IPCW-TMLE",0.0352975761618413,-0.0443359633003073,0.11493111562399
1000,6,"IPCW-TMLE-target-Pi-Q-init",0.0434007871526682,-0.0368119922649285,0.123613566570265
1000,6,"IPCW-TMLE-target-Pi-Q-star",0.0434007871526682,-0.0368119922649285,0.123613566570265
1000,7,"IPCW-TMLE",0.211019201136957,0.0618176315169045,0.36022077075701
1000,7,"IPCW-TMLE-target-Pi-Q-init",0.211263360140482,0.0620139177096676,0.360512802571296
1000,7,"IPCW-TMLE-target-Pi-Q-star",0.211263363179221,0.0620139247502265,0.360512801608215
1000,8,"IPCW-TMLE",0.139647738158739,0.00872084214295421,0.270574634174524
1000,8,"IPCW-TMLE-target-Pi-Q-init",0.150245551096408,0.0130054453059389,0.287485656886876
1000,8,"IPCW-TMLE-target-Pi-Q-star",0.150245551096407,0.0130054453059387,0.287485656886876
1000,9,"IPCW-TMLE",0.0856161442985139,-0.0239575109689079,0.195189799565936
1000,9,"IPCW-TMLE-target-Pi-Q-init",0.0870144283803367,-0.0233573927949961,0.197386249555669
1000,9,"IPCW-TMLE-target-Pi-Q-star",0.0870144283803368,-0.0233573927949959,0.19738624955567
1000,10,"IPCW-TMLE",0.105292463743599,-0.000215840442604115,0.210800767929802
1000,10,"IPCW-TMLE-target-Pi-Q-init",0.11107647474274,0.00526768487879926,0.216885264606681
