"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.517862914243397,0.287792270541902,0.747933557944891
1000,1,"IPCW-TMLE-target-Pi-Q-init",0.488150839919157,0.260271625905163,0.71603005393315
1000,1,"IPCW-TMLE-target-Pi-Q-star",0.488150839919157,0.260271625905163,0.71603005393315
1000,2,"IPCW-TMLE",0.436380408916283,0.176149342968104,0.696611474864461
1000,2,"IPCW-TMLE-target-Pi-Q-init",0.42374550192369,0.172477724054304,0.675013279793077
1000,2,"IPCW-TMLE-target-Pi-Q-star",0.423745501923691,0.172477724054304,0.675013279793078
1000,3,"IPCW-TMLE",0.412483155051625,0.196109342582367,0.628856967520883
1000,3,"IPCW-TMLE-target-Pi-Q-init",0.446981521750897,0.231136285023965,0.662826758477829
1000,3,"IPCW-TMLE-target-Pi-Q-star",0.446981521750897,0.231136285023965,0.662826758477829
1000,4,"IPCW-TMLE",0.479057786410423,0.257688950942229,0.700426621878617
1000,4,"IPCW-TMLE-target-Pi-Q-init",0.451795578776172,0.229817467822347,0.673773689729996
1000,4,"IPCW-TMLE-target-Pi-Q-star",0.451795578776172,0.229817467822347,0.673773689729996
1000,5,"IPCW-TMLE",0.458220231213167,0.231561329788519,0.684879132637815
1000,5,"IPCW-TMLE-target-Pi-Q-init",0.392035481889045,0.158405053394503,0.625665910383587
1000,5,"IPCW-TMLE-target-Pi-Q-star",0.392035481889045,0.158405053394503,0.625665910383587
1000,6,"IPCW-TMLE",0.346420690409554,0.1632907267901,0.529550654029009
1000,6,"IPCW-TMLE-target-Pi-Q-init",0.391329305200116,0.205684661066326,0.576973949333906
1000,6,"IPCW-TMLE-target-Pi-Q-star",0.391329305200116,0.205684661066326,0.576973949333906
1000,7,"IPCW-TMLE",0.315731805439896,0.107988660256218,0.523474950623575
1000,7,"IPCW-TMLE-target-Pi-Q-init",0.291904337109701,0.0824601821602725,0.50134849205913
1000,7,"IPCW-TMLE-target-Pi-Q-star",0.291904337109702,0.0824601821602725,0.501348492059131
1000,8,"IPCW-TMLE",0.3713441062563,0.150837345265471,0.591850867247129
1000,8,"IPCW-TMLE-target-Pi-Q-init",0.354279541347764,0.137959308275811,0.570599774419718
1000,8,"IPCW-TMLE-target-Pi-Q-star",0.354279541347764,0.13795930827581,0.570599774419718
1000,9,"IPCW-TMLE",0.424035915050264,0.189984499037848,0.65808733106268
1000,9,"IPCW-TMLE-target-Pi-Q-init",0.350836989119831,0.106750404642347,0.594923573597315
1000,9,"IPCW-TMLE-target-Pi-Q-star",0.350836989119831,0.106750404642347,0.594923573597315
1000,10,"IPCW-TMLE",0.4136478452477,0.204940497007357,0.622355193488044
1000,10,"IPCW-TMLE-target-Pi-Q-init",0.368672012062423,0.159535755811192,0.577808268313654
1000,10,"IPCW-TMLE-target-Pi-Q-star",0.368672012062423,0.159535755811192,0.577808268313654
1000,11,"IPCW-TMLE",0.591065360310417,0.407040231972352,0.775090488648481
1000,11,"IPCW-TMLE-target-Pi-Q-init",0.574060666926561,0.3899407719243,0.758180561928821
1000,11,"IPCW-TMLE-target-Pi-Q-star",0.574060666926561,0.3899407719243,0.758180561928821
1000,12,"IPCW-TMLE",0.446533398849128,0.229582394637061,0.663484403061196
1000,12,"IPCW-TMLE-target-Pi-Q-init",0.386432570639861,0.156154413913076,0.616710727366646
1000,12,"IPCW-TMLE-target-Pi-Q-star",0.386432570639861,0.156154413913076,0.616710727366646
1000,13,"IPCW-TMLE",0.307684118293551,0.0847721810881993,0.530596055498902
1000,13,"IPCW-TMLE-target-Pi-Q-init",0.329255878716266,0.10759493322825,0.550916824204283
1000,13,"IPCW-TMLE-target-Pi-Q-star",0.329255878716266,0.10759493322825,0.550916824204283
1000,14,"IPCW-TMLE",0.40532677619415,0.188548139542765,0.622105412845535
1000,14,"IPCW-TMLE-target-Pi-Q-init",0.335539801932575,0.11448700717236,0.556592596692789
1000,14,"IPCW-TMLE-target-Pi-Q-star",0.335539801932575,0.11448700717236,0.556592596692789
1000,15,"IPCW-TMLE",0.399153469042632,0.200881357100057,0.597425580985206
1000,15,"IPCW-TMLE-target-Pi-Q-init",0.3500087829877,0.149052995752255,0.550964570223146
1000,15,"IPCW-TMLE-target-Pi-Q-star",0.3500087829877,0.149052995752255,0.550964570223146
1000,16,"IPCW-TMLE",0.349112521417686,0.114467738353308,0.583757304482064
1000,16,"IPCW-TMLE-target-Pi-Q-init",0.323908731103228,0.0893819849256052,0.558435477280851
1000,16,"IPCW-TMLE-target-Pi-Q-star",0.323908731103228,0.0893819849256052,0.558435477280851
1000,17,"IPCW-TMLE",0.257982923110789,-0.0125254466524261,0.528491292874005
1000,17,"IPCW-TMLE-target-Pi-Q-init",0.249669983518178,-0.0242941545390063,0.523634121575363
1000,17,"IPCW-TMLE-target-Pi-Q-star",0.249669983518178,-0.0242941545390062,0.523634121575363
1000,18,"IPCW-TMLE",0.482814756558615,0.289955643080725,0.675673870036506
1000,18,"IPCW-TMLE-target-Pi-Q-init",0.540622413989033,0.337334877504768,0.743909950473297
1000,18,"IPCW-TMLE-target-Pi-Q-star",0.540622413989033,0.337334877504768,0.743909950473297
1000,19,"IPCW-TMLE",0.494324937940018,0.272182773189811,0.716467102690225
1000,19,"IPCW-TMLE-target-Pi-Q-init",0.523895150141148,0.301694323387019,0.746095976895276
1000,19,"IPCW-TMLE-target-Pi-Q-star",0.523895150141148,0.301694323387019,0.746095976895276
1000,20,"IPCW-TMLE",0.483742697428568,0.291017175734551,0.676468219122584
1000,20,"IPCW-TMLE-target-Pi-Q-init",0.441386768842064,0.24906412313035,0.633709414553778
1000,20,"IPCW-TMLE-target-Pi-Q-star",0.441386768842064,0.24906412313035,0.633709414553778
1000,21,"IPCW-TMLE",0.318956736169943,0.103577945541515,0.534335526798371
1000,21,"IPCW-TMLE-target-Pi-Q-init",0.352132994085775,0.137788872707074,0.566477115464477
1000,21,"IPCW-TMLE-target-Pi-Q-star",0.352132994085775,0.137788872707074,0.566477115464476
1000,22,"IPCW-TMLE",0.55241722792886,0.313326428675558,0.791508027182161
1000,22,"IPCW-TMLE-target-Pi-Q-init",0.48850553174578,0.252111793341655,0.724899270149905
1000,22,"IPCW-TMLE-target-Pi-Q-star",0.48850553174578,0.252111793341655,0.724899270149905
1000,23,"IPCW-TMLE",0.376186578025286,0.164058256954308,0.588314899096265
1000,23,"IPCW-TMLE-target-Pi-Q-init",0.352855106863922,0.141344415372879,0.564365798354965
1000,23,"IPCW-TMLE-target-Pi-Q-star",0.352855106863922,0.141344415372879,0.564365798354965
1000,24,"IPCW-TMLE",0.569116344421291,0.364412307896783,0.773820380945799
1000,24,"IPCW-TMLE-target-Pi-Q-init",0.511771220555418,0.306550602987882,0.716991838122953
1000,24,"IPCW-TMLE-target-Pi-Q-star",0.511771220555418,0.306550602987882,0.716991838122953
1000,25,"IPCW-TMLE",0.267750221638419,0.0620670529509909,0.473433390325847
1000,25,"IPCW-TMLE-target-Pi-Q-init",0.327257229355092,0.120909476022944,0.53360498268724
1000,25,"IPCW-TMLE-target-Pi-Q-star",0.327257229355092,0.120909476022944,0.53360498268724
1000,26,"IPCW-TMLE",0.559575895780023,0.335012153146571,0.784139638413474
1000,26,"IPCW-TMLE-target-Pi-Q-init",0.543761206134351,0.317439699413329,0.770082712855372
1000,26,"IPCW-TMLE-target-Pi-Q-star",0.543761206134351,0.31743969941333,0.770082712855372
1000,27,"IPCW-TMLE",0.426745854007033,0.227125926604366,0.6263657814097
1000,27,"IPCW-TMLE-target-Pi-Q-init",0.451929814206692,0.252086646347508,0.651772982065876
1000,27,"IPCW-TMLE-target-Pi-Q-star",0.451929814206692,0.252086646347508,0.651772982065876
1000,28,"IPCW-TMLE",0.67314933590745,0.338710090234418,1.00758858158048
1000,28,"IPCW-TMLE-target-Pi-Q-init",0.720763113603092,0.345172653092516,1.09635357411367
1000,28,"IPCW-TMLE-target-Pi-Q-star",0.720763113603092,0.345172653092516,1.09635357411367
1000,29,"IPCW-TMLE",0.50739171882607,0.285193563521888,0.729589874130252
1000,29,"IPCW-TMLE-target-Pi-Q-init",0.50509581209997,0.283094099695363,0.727097524504577
1000,29,"IPCW-TMLE-target-Pi-Q-star",0.50509581209997,0.283094099695363,0.727097524504577
1000,30,"IPCW-TMLE",0.376183595157443,0.142269135774244,0.610098054540643
1000,30,"IPCW-TMLE-target-Pi-Q-init",0.385066111149623,0.150602130276843,0.619530092022404
1000,30,"IPCW-TMLE-target-Pi-Q-star",0.385066111149624,0.150602130276843,0.619530092022404
1000,31,"IPCW-TMLE",0.22231538112609,0.0365638251058701,0.408066937146309
1000,31,"IPCW-TMLE-target-Pi-Q-init",0.262579468770059,0.0769454835964669,0.448213453943651
1000,31,"IPCW-TMLE-target-Pi-Q-star",0.262579468770059,0.0769454835964669,0.448213453943651
1000,32,"IPCW-TMLE",0.392767403089629,0.188852755160378,0.59668205101888
1000,32,"IPCW-TMLE-target-Pi-Q-init",0.349313793252261,0.138665391693635,0.559962194810887
1000,32,"IPCW-TMLE-target-Pi-Q-star",0.349313793252261,0.138665391693635,0.559962194810887
1000,33,"IPCW-TMLE",0.48022793858136,0.238379386826601,0.722076490336118
1000,33,"IPCW-TMLE-target-Pi-Q-init",0.388912660948764,0.147717538598285,0.630107783299243
1000,33,"IPCW-TMLE-target-Pi-Q-star",0.388912660948764,0.147717538598285,0.630107783299243
1000,34,"IPCW-TMLE",0.28615740158334,0.0226823756258439,0.549632427540836
1000,34,"IPCW-TMLE-target-Pi-Q-init",0.308228499695039,0.0502260420497282,0.56623095734035
1000,34,"IPCW-TMLE-target-Pi-Q-star",0.308228499695039,0.0502260420497282,0.56623095734035
1000,35,"IPCW-TMLE",0.512836349624789,0.293948194808903,0.731724504440674
1000,35,"IPCW-TMLE-target-Pi-Q-init",0.475740279600925,0.264792114206321,0.68668844499553
1000,35,"IPCW-TMLE-target-Pi-Q-star",0.475740279600925,0.26479211420632,0.68668844499553
1000,36,"IPCW-TMLE",0.355516182125672,0.141990176418014,0.56904218783333
1000,36,"IPCW-TMLE-target-Pi-Q-init",0.385424251648695,0.174003821495153,0.596844681802237
1000,36,"IPCW-TMLE-target-Pi-Q-star",0.385424251648695,0.174003821495153,0.596844681802237
1000,37,"IPCW-TMLE",0.344516477884777,0.0755728013825144,0.61346015438704
1000,37,"IPCW-TMLE-target-Pi-Q-init",0.369103396291522,0.109027079559402,0.629179713023641
1000,37,"IPCW-TMLE-target-Pi-Q-star",0.369103396291522,0.109027079559402,0.629179713023641
1000,38,"IPCW-TMLE",0.605117332291924,0.411207601366186,0.799027063217662
1000,38,"IPCW-TMLE-target-Pi-Q-init",0.555616270678545,0.359622783384437,0.751609757972653
1000,38,"IPCW-TMLE-target-Pi-Q-star",0.555616270678545,0.359622783384437,0.751609757972653
1000,39,"IPCW-TMLE",0.424921250316677,0.220243507655316,0.629598992978037
1000,39,"IPCW-TMLE-target-Pi-Q-init",0.454312997972601,0.249171037735731,0.659454958209471
1000,39,"IPCW-TMLE-target-Pi-Q-star",0.454312997972601,0.249171037735731,0.659454958209471
1000,40,"IPCW-TMLE",0.366229106268047,0.141840175827596,0.590618036708497
1000,40,"IPCW-TMLE-target-Pi-Q-init",0.373698240421338,0.149354515333053,0.598041965509622
1000,40,"IPCW-TMLE-target-Pi-Q-star",0.373698240421338,0.149354515333053,0.598041965509622
1000,41,"IPCW-TMLE",0.399364706348487,0.177984046933419,0.620745365763555
1000,41,"IPCW-TMLE-target-Pi-Q-init",0.408653771483632,0.187038510476681,0.630269032490582
1000,41,"IPCW-TMLE-target-Pi-Q-star",0.408653771483632,0.187038510476681,0.630269032490582
1000,42,"IPCW-TMLE",0.429755333450453,0.203402240028906,0.656108426872
1000,42,"IPCW-TMLE-target-Pi-Q-init",0.484423418780162,0.251720179821072,0.717126657739252
