"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.379277130968568,-0.0168155066076925,0.775369768544828
1000,1,"IPCW-TMLE-target-Pi-Q-init",0.514054120204009,0.0919336564448688,0.93617458396315
1000,1,"IPCW-TMLE-target-Pi-Q-star",0.514054120204009,0.0919336564448688,0.93617458396315
1000,2,"IPCW-TMLE",0.201197955027389,-0.121662064099818,0.524057974154597
1000,2,"IPCW-TMLE-target-Pi-Q-init",0.211409667687004,-0.110465561324842,0.533284896698849
1000,2,"IPCW-TMLE-target-Pi-Q-star",0.211409667687004,-0.110465561324842,0.533284896698849
1000,3,"IPCW-TMLE",0.276216893142447,-0.0294044318180702,0.581838218102963
1000,3,"IPCW-TMLE-target-Pi-Q-init",0.25752655163267,-0.0472577149530036,0.562310818218344
1000,3,"IPCW-TMLE-target-Pi-Q-star",0.257526551632671,-0.0472577149530033,0.562310818218345
1000,4,"IPCW-TMLE",0.513847365819585,0.19903188596613,0.82866284567304
1000,4,"IPCW-TMLE-target-Pi-Q-init",0.474506304032145,0.156838166974747,0.792174441089543
1000,4,"IPCW-TMLE-target-Pi-Q-star",0.474506304032145,0.156838166974748,0.792174441089543
1000,5,"IPCW-TMLE",0.237551659256132,-0.0520823577584141,0.527185676270679
1000,5,"IPCW-TMLE-target-Pi-Q-init",0.326996891525112,0.0389986502917392,0.614995132758485
1000,5,"IPCW-TMLE-target-Pi-Q-star",0.326996891525112,0.0389986502917392,0.614995132758485
1000,6,"IPCW-TMLE",0.598971788516726,0.256296180913093,0.94164739612036
1000,6,"IPCW-TMLE-target-Pi-Q-init",0.629230200865275,0.2860309876399,0.972429414090651
1000,6,"IPCW-TMLE-target-Pi-Q-star",0.629230200865275,0.2860309876399,0.972429414090651
1000,7,"IPCW-TMLE",0.286651933329611,-0.0383580481434982,0.611661914802719
1000,7,"IPCW-TMLE-target-Pi-Q-init",0.428215826136757,0.0834688794160715,0.772962772857444
1000,7,"IPCW-TMLE-target-Pi-Q-star",0.428215826136758,0.0834688794160716,0.772962772857444
1000,8,"IPCW-TMLE",0.371025017243074,0.0634372909018733,0.678612743584274
1000,8,"IPCW-TMLE-target-Pi-Q-init",0.403168307939034,0.0946647179848128,0.711671897893254
1000,8,"IPCW-TMLE-target-Pi-Q-star",0.403168307939034,0.0946647179848129,0.711671897893254
1000,9,"IPCW-TMLE",0.464348115587043,0.0658587333049284,0.862837497869158
1000,9,"IPCW-TMLE-target-Pi-Q-init",0.419330239806403,0.0487629357086057,0.7898975439042
1000,9,"IPCW-TMLE-target-Pi-Q-star",0.419330239806403,0.0487629357086055,0.7898975439042
1000,10,"IPCW-TMLE",0.445994840736562,0.06843012677077,0.823559554702355
1000,10,"IPCW-TMLE-target-Pi-Q-init",0.424832573184651,0.0404835143431473,0.809181632026155
1000,10,"IPCW-TMLE-target-Pi-Q-star",0.424832573184651,0.0404835143431475,0.809181632026155
1000,11,"IPCW-TMLE",0.338024858085371,-0.203527530097575,0.879577246268318
1000,11,"IPCW-TMLE-target-Pi-Q-init",0.249784787987789,-0.334985562883602,0.834555138859181
1000,11,"IPCW-TMLE-target-Pi-Q-star",0.249784787987789,-0.334985562883602,0.834555138859181
1000,12,"IPCW-TMLE",0.31721170815135,-0.424650246795613,1.05907366309831
1000,12,"IPCW-TMLE-target-Pi-Q-init",0.437743924067797,-0.154010708791971,1.02949855692757
1000,12,"IPCW-TMLE-target-Pi-Q-star",0.437743924067797,-0.154010708791971,1.02949855692757
1000,13,"IPCW-TMLE",0.391307794580149,0.0137233098373676,0.76889227932293
1000,13,"IPCW-TMLE-target-Pi-Q-init",0.473305194129614,0.122947515579493,0.823662872679734
1000,13,"IPCW-TMLE-target-Pi-Q-star",0.473305194129613,0.122947515579493,0.823662872679734
1000,14,"IPCW-TMLE",0.431816238114511,0.106367521752513,0.757264954476509
1000,14,"IPCW-TMLE-target-Pi-Q-init",0.351221391292572,0.0120138706546545,0.690428911930489
1000,14,"IPCW-TMLE-target-Pi-Q-star",0.351221391292572,0.0120138706546542,0.690428911930489
1000,15,"IPCW-TMLE",-0.164408981729532,-0.721364715504105,0.392546752045041
1000,15,"IPCW-TMLE-target-Pi-Q-init",0.135457977094104,-0.375816083181769,0.646732037369977
1000,15,"IPCW-TMLE-target-Pi-Q-star",0.135457977094104,-0.375816083181769,0.646732037369977
1000,16,"IPCW-TMLE",0.520329909074589,0.211277284693673,0.829382533455505
1000,16,"IPCW-TMLE-target-Pi-Q-init",0.539329269093077,0.230424431850458,0.848234106335695
1000,16,"IPCW-TMLE-target-Pi-Q-star",0.539329269093077,0.230424431850458,0.848234106335695
1000,17,"IPCW-TMLE",0.476464354884746,0.155425218228057,0.797503491541436
1000,17,"IPCW-TMLE-target-Pi-Q-init",0.522084923282279,0.20111422362388,0.843055622940679
1000,17,"IPCW-TMLE-target-Pi-Q-star",0.522084923282279,0.20111422362388,0.843055622940679
1000,18,"IPCW-TMLE",0.510767012025577,0.161894354423148,0.859639669628005
1000,18,"IPCW-TMLE-target-Pi-Q-init",0.412211212700518,0.0489373654698468,0.775485059931189
1000,18,"IPCW-TMLE-target-Pi-Q-star",0.412211212700518,0.0489373654698469,0.775485059931189
1000,19,"IPCW-TMLE",0.655402498260705,0.105801929334805,1.20500306718661
1000,19,"IPCW-TMLE-target-Pi-Q-init",0.883703751410365,0.0286216530749058,1.73878584974582
1000,19,"IPCW-TMLE-target-Pi-Q-star",0.883703751410365,0.0286216530749059,1.73878584974582
1000,20,"IPCW-TMLE",0.547376847145524,0.196813809349146,0.897939884941902
1000,20,"IPCW-TMLE-target-Pi-Q-init",0.719317227452039,0.276666203802138,1.16196825110194
1000,20,"IPCW-TMLE-target-Pi-Q-star",0.719317227452039,0.276666203802138,1.16196825110194
1000,21,"IPCW-TMLE",0.195140623673514,-0.2769333655025,0.667214612849529
1000,21,"IPCW-TMLE-target-Pi-Q-init",0.293992558547226,-0.185121323429053,0.773106440523505
1000,21,"IPCW-TMLE-target-Pi-Q-star",0.293992558547226,-0.185121323429052,0.773106440523505
1000,22,"IPCW-TMLE",0.26198442227436,-0.082458884926932,0.606427729475653
1000,22,"IPCW-TMLE-target-Pi-Q-init",0.292550799902207,-0.0511118206922737,0.636213420496687
1000,22,"IPCW-TMLE-target-Pi-Q-star",0.292550799902207,-0.0511118206922739,0.636213420496687
1000,23,"IPCW-TMLE",0.371482187709431,0.0178662603983356,0.725098115020526
1000,23,"IPCW-TMLE-target-Pi-Q-init",0.441525372128579,0.0875076933475678,0.79554305090959
1000,23,"IPCW-TMLE-target-Pi-Q-star",0.441525372128579,0.087507693347568,0.79554305090959
1000,24,"IPCW-TMLE",0.450720417761323,0.176241308996418,0.725199526526227
1000,24,"IPCW-TMLE-target-Pi-Q-init",0.455031916040436,0.180562183239774,0.729501648841097
1000,24,"IPCW-TMLE-target-Pi-Q-star",0.455031916040436,0.180562183239774,0.729501648841097
1000,25,"IPCW-TMLE",0.562295720266211,0.203216557569027,0.921374882963395
1000,25,"IPCW-TMLE-target-Pi-Q-init",0.489950947912984,0.136105348054093,0.843796547771874
1000,25,"IPCW-TMLE-target-Pi-Q-star",0.489950947912984,0.136105348054093,0.843796547771874
1000,26,"IPCW-TMLE",0.351317920437029,0.0189349732137349,0.683700867660324
1000,26,"IPCW-TMLE-target-Pi-Q-init",0.344649501767913,0.0129906609425864,0.67630834259324
1000,26,"IPCW-TMLE-target-Pi-Q-star",0.344649501767913,0.0129906609425864,0.67630834259324
1000,27,"IPCW-TMLE",0.232936034637714,-0.160519913967956,0.626391983243383
1000,27,"IPCW-TMLE-target-Pi-Q-init",0.182227006164791,-0.213274621334576,0.577728633664157
1000,27,"IPCW-TMLE-target-Pi-Q-star",0.182227006164791,-0.213274621334576,0.577728633664157
1000,28,"IPCW-TMLE",0.31844171651991,0.0479774284129563,0.588906004626863
1000,28,"IPCW-TMLE-target-Pi-Q-init",0.307790538850795,0.0369715609393245,0.578609516762265
1000,28,"IPCW-TMLE-target-Pi-Q-star",0.307790538850795,0.0369715609393246,0.578609516762265
1000,29,"IPCW-TMLE",0.305877392814012,-0.0681322828923949,0.67988706852042
1000,29,"IPCW-TMLE-target-Pi-Q-init",0.211511281848869,-0.182554196278624,0.605576759976363
1000,29,"IPCW-TMLE-target-Pi-Q-star",0.211511281848869,-0.182554196278624,0.605576759976363
1000,30,"IPCW-TMLE",0.458519328703908,0.175144486045258,0.741894171362559
1000,30,"IPCW-TMLE-target-Pi-Q-init",0.398710346381242,0.119248250293075,0.678172442469409
1000,30,"IPCW-TMLE-target-Pi-Q-star",0.398710346381242,0.119248250293074,0.678172442469409
1000,31,"IPCW-TMLE",0.494042779155329,0.081434132965191,0.906651425345467
1000,31,"IPCW-TMLE-target-Pi-Q-init",0.381322821246645,-0.00515967860463251,0.767805321097922
1000,31,"IPCW-TMLE-target-Pi-Q-star",0.381322821246645,-0.00515967860463257,0.767805321097922
1000,32,"IPCW-TMLE",0.307456051477514,-0.0707080135032697,0.685620116458297
1000,32,"IPCW-TMLE-target-Pi-Q-init",0.349732459925171,-0.0410132030301986,0.740478122880541
1000,32,"IPCW-TMLE-target-Pi-Q-star",0.349732459925171,-0.0410132030301988,0.74047812288054
