"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371379,-0.0492007108397897,0.0556714671872173,1,500
"ipcw-tmle-plugin-DFullReg-SL",-0.000259483869503037,-0.0416715044726922,0.0411525367336861,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.000810778493149778,-0.0440338662435216,0.0456554232298211,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",-0.0113458569228827,-0.0459535221507122,0.0232618083049468,1,500
"raking",-0.000104913681792099,-0.035648724201147,0.0354388968375628,1,500
"ipcw-tmle",0.0295490404464313,-0.0268703206280182,0.0859684015208809,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0386142430740293,-0.00437025326238785,0.0815987394104465,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.0118023920105049,-0.0316382128568438,0.0552429968778536,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",0.0428985541392998,0.00263314074280602,0.0831639675357935,1,500
"raking",0.0534435797614889,-0.00401123470188448,0.110898394224862,1,500
"ipcw-tmle",0.0111118965810458,-0.0339035998064827,0.0561273929685743,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0133088252166623,-0.0233687821983932,0.0499864326317177,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.00523346856429385,-0.031329576870932,0.0417965139995197,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",0.00810830092210587,-0.0234061788613839,0.0396227807055956,1,500
"raking",0.0130625024299933,-0.0246411241793732,0.0507661290393598,1,500
"ipcw-tmle",-0.0155746783687256,-0.0556542162724443,0.0245048595349931,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.000449978500217561,-0.0332647317389587,0.0341646887393938,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.00033829258562379,-0.0341667434403011,0.0348433286115487,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",-0.0138582982952071,-0.0434663156149073,0.0157497190244931,1,500
"raking",0.000432844713647277,-0.0378349451195868,0.0387006345468813,1,500
"ipcw-tmle",0.030428902886546,-0.0373993905780956,0.0982571963511877,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0367271441646837,-0.0108665408442927,0.0843208291736601,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.018182585930052,-0.028847230196454,0.065212402056558,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",0.00335128718980468,-0.0323669980460631,0.0390695724256725,1,500
"raking",0.0283382844095365,-0.0162045353852227,0.0728811042042956,1,500
"ipcw-tmle",0.0564708178680135,-0.00231880687905674,0.115260442615084,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0306778899500752,-0.010976907057889,0.0723326869580394,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.0163277869490636,-0.0248044881768193,0.0574600620749464,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",0.0628278741171896,0.0281009840163618,0.0975547642180174,1,500
"raking",0.0280788037720084,-0.0150435653622556,0.0712011729062724,1,500
"ipcw-tmle",-0.0259819553956493,-0.0696190423818336,0.017655131590535,1,500
"ipcw-tmle-plugin-DFullReg-SL",-0.0106874238564929,-0.0515730537549205,0.0301982060419348,1,500
"ipcw-tmle-plugin-DFullReg-MI",-0.0055148505888492,-0.0457767257255931,0.0347470245478947,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",-0.0240886863870006,-0.0595633673740103,0.0113859946000091,1,500
"raking",-0.0124764255266684,-0.0537179710787477,0.0287651200254109,1,500
"ipcw-tmle",0.00897135434189647,-0.0459212524057134,0.0638639610895063,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0132153337124948,-0.0308970202095398,0.0573276876345294,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.00774456631567643,-0.0349948037593809,0.0504839363907337,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",0.00182367241832423,-0.0327563348622328,0.0364036796988812,1,500
"raking",0.0107173072806553,-0.028688082991096,0.0501226975524066,1,500
"ipcw-tmle",0.0208685739327423,-0.0431099236086417,0.0848470714741264,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0153122759385495,-0.0279937536925243,0.0586183055696233,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.0104913550266035,-0.0334415781718381,0.054424288225045,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",-0.00176199330773022,-0.0357777258346574,0.032253739219197,1,500
"raking",0.0189396812544433,-0.0189606542786055,0.0568400167874921,1,500
"ipcw-tmle",0.00622254548199617,-0.0465371054525346,0.0589821964165269,1,500
"ipcw-tmle-plugin-DFullReg-SL",0.0479922615404035,0.00393595711947763,0.0920485659613293,1,500
"ipcw-tmle-plugin-DFullReg-MI",0.0203732936052073,-0.022688103000278,0.0634346902106926,1,500
"ipcw-tmle-plugin-DFullReg-MI-direct",0.0226862249618141,-0.00807514942835891,0.0534475993519872,1,500
"raking",0.0320986530603271,-0.0065098352151271,0.0707071413357812,1,500
"ipcw-tmle",-0.00501913377474068,-0.0474501652027756,0.0374118976532943,1,500
