"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371371,-0.0492007108397897,0.0556714671872171,1,500
"ipcw-tmle-plugin-ver-0",0.000563781543370665,-0.0408653629889076,0.0419929260756489,1,500
"raking",-0.000686289032672135,-0.0359605201765395,0.0345879421111952,1,500
"ipcw-tmle",-0.0491512887693657,-0.104291186186024,0.00598860864729264,1,500
"ipcw-tmle-plugin-ver-0",-0.0139156012165979,-0.0594125029549481,0.0315813005217524,1,500
"raking",-0.0249994053277177,-0.0695578034284419,0.0195589927730064,1,500
"ipcw-tmle",-0.000990183828791215,-0.0512026836336528,0.0492223159760704,1,500
"ipcw-tmle-plugin-ver-0",0.0066185694069304,-0.0315298132743739,0.0447669520882346,1,500
"raking",0.00414563589453973,-0.0342651381699735,0.042556409959053,1,500
"ipcw-tmle",0.0177029920284889,-0.0428497696486954,0.0782557537056731,1,500
"ipcw-tmle-plugin-ver-0",0.0338705168040767,-0.0139767814424326,0.0817178150505861,1,500
"raking",0.0381735590892293,-0.013594271427833,0.0899413896062915,1,500
"ipcw-tmle",0.0329413110925458,-0.0220820567667805,0.0879646789518721,1,500
"ipcw-tmle-plugin-ver-0",0.00986278512584992,-0.0292373600670469,0.0489629303187467,1,500
"raking",0.00898674005312578,-0.0303662662745989,0.0483397463808504,1,500
"ipcw-tmle",-0.0206348647556946,-0.0821717947325249,0.0409020652211356,1,500
"ipcw-tmle-plugin-ver-0",-0.027474377771887,-0.0663819703997524,0.0114332148559783,1,500
"raking",-0.01075358022733,-0.0475726780994057,0.0260655176447456,1,500
"ipcw-tmle",-0.00963057008084905,-0.0628618810346863,0.0436007408729882,1,500
"ipcw-tmle-plugin-ver-0",0.0117466160514275,-0.0320815232595951,0.05557475536245,1,500
"raking",0.0103014794395554,-0.0349176521333773,0.055520611012488,1,500
"ipcw-tmle",-0.00963989684460319,-0.0513386759098597,0.0320588822206533,1,500
"ipcw-tmle-plugin-ver-0",0.00165153649755357,-0.0374234607461002,0.0407265337412073,1,500
"raking",0.00310800993055509,-0.0351656413090904,0.0413816611702005,1,500
"ipcw-tmle",0.0132070295277402,-0.0360825494370027,0.0624966084924831,1,500
"ipcw-tmle-plugin-ver-0",0.00122581476849202,-0.0371705648502052,0.0396221943871892,1,500
"raking",0.00135525281106277,-0.0358824507099901,0.0385929563321156,1,500
"ipcw-tmle",0.0146981222238433,-0.0427311174797387,0.0721273619274252,1,500
"ipcw-tmle-plugin-ver-0",0.0397291900162498,-0.00884997940674837,0.0883083594392479,1,500
"raking",0.0260828204373132,-0.0166408456542146,0.0688064865288411,1,500
"ipcw-tmle",-0.0201155848510014,-0.0837241644809348,0.043492994778932,1,500
"ipcw-tmle-plugin-ver-0",0.00359101133945367,-0.0411614939905834,0.0483435166694908,1,500
"raking",0.00451308936344154,-0.0340171869266015,0.0430433656534845,1,500
"ipcw-tmle",-0.000831486765944918,-0.0412777850137828,0.039614811481893,1,500
"ipcw-tmle-plugin-ver-0",-0.0178029748605943,-0.0516140081001939,0.0160080583790054,1,500
"raking",-0.00556587266574812,-0.0323031156533997,0.0211713703219034,1,500
"ipcw-tmle",0.0113047050268066,-0.0338603235812421,0.0564697336348552,1,500
"ipcw-tmle-plugin-ver-0",0.0052577389456314,-0.03363454124143,0.0441500191326928,1,500
"raking",0.0104530252312267,-0.0211726016980894,0.0420786521605428,1,500
"ipcw-tmle",0.0943966220286962,0.00445007789631471,0.184343166161078,1,500
"ipcw-tmle-plugin-ver-0",0.0624913300976863,0.012842141135883,0.11214051905949,1,500
"raking",0.0512723046365584,0.00480574410313907,0.0977388651699777,1,500
"ipcw-tmle",-0.026642931022085,-0.0763559190190474,0.0230700569748775,1,500
