"n","b","est","psi","lower","upper","mc_id"
500,1,"raking",0.0296737445779441,-0.0322055196878767,0.0915530088437649,1
500,2,"raking",0.0899985864420524,0.0252021882109381,0.154794984673167,2
500,3,"raking",0.0514458259036287,-0.0101863380378897,0.113077989845147,3
500,4,"raking",0.0161849920497854,-0.0384577883435046,0.0708277724430754,4
500,5,"raking",0.0612901597156053,-0.0092569356767792,0.13183725510799,5
500,6,"raking",0.055922099990792,-0.0195965422104379,0.131440742192022,6
500,7,"raking",-0.0151779186166141,-0.0678663975993421,0.037510560366114,7
500,8,"raking",0.0582341426420075,-0.0128031844353597,0.129271469719375,8
500,9,"raking",-0.00549241550507909,-0.0686645123323554,0.0576796813221972,9
500,10,"raking",0.000640397901913085,-0.059926377266679,0.0612071730705051,10
500,11,"raking",-0.00201777627712819,-0.0586019474613192,0.0545663949070628,11
500,12,"raking",0.0804292240268244,-0.00208469813480786,0.162943146188457,12
500,13,"raking",0.0960632008308355,0.0180620605359103,0.174064341125761,13
500,14,"raking",0.0356009346622996,-0.0365194046444399,0.107721273969039,14
500,15,"raking",0.085111288811725,0.0206196050930081,0.149602972530442,15
500,16,"raking",0.0753560701172931,0.00248469434225679,0.14822744589233,16
500,17,"raking",-0.010459602376107,-0.0680985084064583,0.0471793036542443,17
500,18,"raking",0.0966457889789653,0.014517209037786,0.178774368920145,18
500,19,"raking",-0.0141956417338712,-0.0682013264400738,0.0398100429723314,19
500,20,"raking",0.0321182531529059,-0.0279574688106008,0.0921939751164127,20
500,21,"raking",0.0352745393811687,-0.0178991454912735,0.0884482242536109,21
500,22,"raking",0.071040116710678,0.00273992671993611,0.13934030670142,22
500,23,"raking",0.0177085097949229,-0.0405820168778397,0.0759990364676854,23
500,24,"raking",0.0270456633915485,-0.048970641500222,0.103061968283319,24
500,25,"raking",0.0606823440197886,-0.0114053600427847,0.132770048082362,25
500,26,"raking",0.00285370562362511,-0.0627624040948913,0.0684698153421415,26
500,27,"raking",0.0499612494362344,-0.0156240157666,0.115546514639069,27
500,28,"raking",-0.00205604032796172,-0.0723627579108606,0.0682506772549372,28
500,29,"raking",-0.0239563981144472,-0.0784951018273216,0.0305823055984272,29
500,30,"raking",-0.0143497500714589,-0.105225300376305,0.0765258002333872,30
500,31,"raking",0.0119303451821445,-0.0551916300801029,0.079052320444392,31
500,32,"raking",-0.0128520780730822,-0.0708157520937075,0.0451115959475431,32
500,33,"raking",0.0405502817771505,-0.0317274911585534,0.112828054712854,33
500,34,"raking",0.0427155189025672,-0.0308770460228523,0.116308083827987,34
500,35,"raking",0.0484174023090339,-0.0111494509453135,0.107984255563381,35
500,36,"raking",0.0432539711132678,-0.0299390877429288,0.116447029969464,36
500,37,"raking",0.0442645336014807,-0.0274145863632228,0.115943653566184,37
500,38,"raking",0.0594227997039208,-0.00583590708844965,0.124681506496291,38
500,39,"raking",0.0710095197045971,-0.00362557401511679,0.145644613424311,39
500,40,"raking",-0.0141004269947253,-0.0683782631599651,0.0401774091705146,40
500,41,"raking",0.0522416715314404,-0.00922120398725386,0.113704547050135,41
500,42,"raking",0.080549244749579,0.0165787074147034,0.144519782084455,42
500,43,"raking",-0.0143407042535202,-0.0657247686039031,0.0370433600968626,43
