"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371371,-0.0492007108397897,0.0556714671872171,1,500
"ipcw-tmle-target-Pi-ver-2",0.00556109333401512,-0.0868630402952861,0.0979852269633163,1,500
"raking",0.00155862996601853,-0.0337433061317651,0.0368605660638022,1,500
"ipcw-tmle",0.0219206362215515,-0.039279856975682,0.0831211294187849,1,500
"ipcw-tmle-target-Pi-ver-2",0.0176614634339982,-0.028892493037164,0.0642154199051603,1,500
"raking",0.0148524553758967,-0.0274453210961099,0.0571502318479033,1,500
"ipcw-tmle",-0.048715288887049,-0.09242659591707,-0.005003981857028,1,500
"ipcw-tmle-target-Pi-ver-2",-0.021765163295042,-0.0700284153424726,0.0264980887523885,1,500
"raking",-0.0221994744698245,-0.0693482336694042,0.0249492847297552,1,500
"ipcw-tmle",0.0177675069003016,-0.0540810055691556,0.0896160193697588,1,500
"ipcw-tmle-target-Pi-ver-2",0.000230287804459738,-0.0684227755405889,0.0688833511495084,1,500
"raking",-0.00194116051033962,-0.0352787894084288,0.0313964683877496,1,500
"ipcw-tmle",0.0457142834904144,-0.0414402287158212,0.13286879569665,1,500
"ipcw-tmle-target-Pi-ver-2",0.0152453593006057,-0.0465054529089449,0.0769961715101563,1,500
"raking",-0.00742240770193855,-0.0410700088343868,0.0262251934305097,1,500
"ipcw-tmle",-0.0123233149472463,-0.0599326136429884,0.0352859837484958,1,500
"ipcw-tmle-target-Pi-ver-2",0.0134309109119833,-0.0271823809933768,0.0540442028173434,1,500
"raking",0.0161487904510342,-0.0239121532325125,0.0562097341345809,1,500
"ipcw-tmle",0.0443818194986333,-0.005421433810787,0.0941850728080536,1,500
"ipcw-tmle-target-Pi-ver-2",0.0367355161647859,-0.0114266858274502,0.0848977181570219,1,500
"raking",0.0346603669638742,-0.00546242789932572,0.074783161827074,1,500
"ipcw-tmle",-0.0251606229750644,-0.0694514840436521,0.0191302380935234,1,500
"ipcw-tmle-target-Pi-ver-2",0.000920919822004963,-0.0581585146641739,0.0600003543081838,1,500
"raking",0.00462033253693334,-0.0284670411199105,0.0377077061937772,1,500
"ipcw-tmle",-0.0167493148500207,-0.0627601421814354,0.029261512481394,1,500
"ipcw-tmle-target-Pi-ver-2",-0.0141807296847927,-0.0601200370173508,0.0317585776477654,1,500
"raking",-0.0180858688131902,-0.0587144587751849,0.0225427211488046,1,500
"ipcw-tmle",0.0170046314089618,-0.0364866533023572,0.0704959161202808,1,500
"ipcw-tmle-target-Pi-ver-2",0.013195261767057,-0.0285087815511224,0.0548993050852365,1,500
"raking",0.0117925145004686,-0.0322182302762777,0.0558032592772149,1,500
"ipcw-tmle",-0.00170021706990272,-0.0432565855076645,0.039856151367859,1,500
"ipcw-tmle-target-Pi-ver-2",0.00510532748692375,-0.0270141585991524,0.0372248135729999,1,500
"raking",0.00481545756696527,-0.0305780125742366,0.0402089277081672,1,500
"ipcw-tmle",-0.000529395516631156,-0.0610722507003973,0.060013459667135,1,500
"ipcw-tmle-target-Pi-ver-2",0.0143465502814071,-0.073187642484418,0.101880743047232,1,500
"raking",0.0168976685043454,-0.0320051801661561,0.065800517174847,1,500
"ipcw-tmle",0.0254456468945349,-0.0207193071786667,0.0716106009677366,1,500
"ipcw-tmle-target-Pi-ver-2",0.0148264003883054,-0.0179253463483818,0.0475781471249926,1,500
"raking",0.011883830753663,-0.0238975825738312,0.0476652440811572,1,500
"ipcw-tmle",0.0403288708243168,-0.00998839041831351,0.090646132066947,1,500
"ipcw-tmle-target-Pi-ver-2",0.0306493813694345,-0.012910205328948,0.0742089680678169,1,500
"raking",0.0242353674330949,-0.0124489549723006,0.0609196898384905,1,500
"ipcw-tmle",0.0314474372911934,-0.0364946722418428,0.0993895468242296,1,500
"ipcw-tmle-target-Pi-ver-2",0.0343817401769663,-0.0657805008631524,0.134543981217085,1,500
"raking",0.0362406503653869,-0.00875389469495028,0.0812351954257241,1,500
"ipcw-tmle",0.0400043955452269,-0.0316615043229793,0.111670295413433,1,500
"ipcw-tmle-target-Pi-ver-2",0.0540633041233343,-0.0728380019468995,0.180964610193568,1,500
"raking",0.0532079763060214,-0.00140018930535536,0.107816141917398,1,500
"ipcw-tmle",-0.00207085295509249,-0.0416460605279801,0.0375043546177952,1,500
"ipcw-tmle-target-Pi-ver-2",0.00625430349585039,-0.0554212485175945,0.0679298555092952,1,500
"raking",0.00377650338543178,-0.0221356397153779,0.0296886464862414,1,500
"ipcw-tmle",0.0709103265708182,0.0109774197112928,0.130843233430344,1,500
"ipcw-tmle-target-Pi-ver-2",0.0628011090392361,0.0181058519215445,0.107496366156928,1,500
"raking",0.073620249279316,0.0215495995982592,0.125690898960373,1,500
